Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14944.8124, 145597.5397)","(-14904.2892, 145577.0358)",45.415,10.2,219389.71,85307.9,329084.57,164542.28,85307.9
"(-15358.3623, 146677.6535)","(-15314.0324, 146700.1823)",49.726,22.0,240214.75,93405.54,360322.12,180161.06,93405.54
"(-15358.3623, 146677.6535)","(-15396.0177, 146748.3704)",44.989,19.4,217330.29,84507.11,325995.44,162997.72,84507.11
"(-15358.3623, 146677.6535)","(-15361.2028, 146613.2532)",42.656,18.8,206062.12,80125.57,309093.17,154546.59,80125.57
"(-14545.5898, 147303.9676)","(-14534.1089, 147320.2408)",60.45,16.4,292020.82,113549.91,438031.23,219015.62,113549.91
"(-15256.9349, 146363.975)","(-15213.7987, 146370.2652)",49.565,19.4,239436.21,93102.82,359154.32,179577.16,93102.82
"(-15256.9349, 146363.975)","(-15278.8055, 146289.5168)",43.384,19.4,209579.3,81493.2,314368.94,157184.47,81493.2
"(-13983.7001, 145961.7988)","(-14063.6773, 145962.6446)",89.173,28.8,670090.33,239317.98,1005135.5,502567.75,239317.98
"(-13983.7001, 145961.7988)","(-13920.9518, 145958.7795)",66.527,28.8,499913.84,178540.66,749870.77,374935.38,178540.66
"(-15190.5848, 146394.325)","(-15183.0628, 146412.6018)",52.853,20.2,255321.58,99279.71,382982.37,191491.18,99279.71
"(-15190.5848, 146394.325)","(-15212.7236, 146370.0582)",55.568,26.6,417567.75,149131.34,626351.63,313175.82,149131.34
"(-15190.5848, 146394.325)","(-15165.6716, 146454.8582)",16.838,26.6,126529.53,45189.12,189794.3,94897.15,45189.12
"(-14814.0181, 146226.321)","(-14775.8557, 146248.5684)",48.256,28.8,362622.27,129507.95,543933.41,271966.71,129507.95
"(-14814.0181, 146226.321)","(-14852.5924, 146199.4226)",67.36,28.8,506178.26,180777.95,759267.38,379633.69,180777.95
"(-14795.5804, 146818.8419)","(-14818.111, 146824.4745)",61.344,23.2,296336.73,115228.12,444505.09,222252.55,115228.12
"(-14795.5804, 146818.8419)","(-14752.9844, 146834.6182)",49.649,23.2,239842.56,93260.82,359763.83,179881.92,93260.82
"(-14755.7599, 145485.8706)","(-14743.9842, 145432.3617)",54.789,10.2,264673.83,102916.26,397010.75,198505.37,102916.26
"(-15152.6845, 145822.9567)","(-15072.878, 145919.1589)",59.888,26.6,450030.41,160725.15,675045.61,337522.8,160725.15
"(-15152.6845, 145822.9567)","(-15158.2172, 145848.5293)",69.038,26.6,518789.33,185281.9,778184.0,389092.0,185281.9
"(-14108.1864, 146057.3955)","(-14091.9746, 146017.7505)",117.596,16.6,568078.94,220892.86,852118.41,426059.21,220892.86
"(-14108.1864, 146057.3955)","(-14162.9428, 146054.3364)",98.466,16.6,475667.36,184959.37,713501.04,356750.52,184959.37
"(-14842.9538, 146637.0454)","(-14876.1481, 146661.5803)",0.237,18.2,1145.27,445.33,1717.91,858.96,445.33
"(-14842.9538, 146637.0454)","(-14839.6356, 146634.5928)",0.874,18.2,4224.13,1642.52,6336.19,3168.1,1642.52
"(-15551.0855, 145071.977)","(-15512.0929, 145153.2849)",90.174,10.2,435609.86,169383.33,653414.78,326707.39,169383.33
"(-15551.0855, 145071.977)","(-15613.3563, 145149.2813)",99.265,10.2,479526.63,186460.01,719289.94,359644.97,186460.01
"(-14178.5594, 145409.3533)","(-14159.4073, 145449.2302)",0.145,18.2,698.8,271.72,1048.21,524.1,271.72
"(-14178.5594, 145409.3533)","(-14244.4908, 145404.3212)",0.188,18.2,909.98,353.84,1364.97,682.48,353.84
"(-15560.1688, 146820.4616)","(-15566.0863, 146800.5915)",20.733,19.4,100153.78,38943.98,150230.67,75115.33,38943.98
"(-15560.1688, 146820.4616)","(-15552.7248, 146837.6135)",18.698,19.4,90323.62,35121.6,135485.42,67742.71,35121.6
"(-14967.4398, 146230.588)","(-14902.965, 146258.3702)",45.438,23.4,219501.36,85351.31,329252.04,164626.02,85351.31
"(-14967.4398, 146230.588)","(-15048.5038, 146223.7008)",39.433,23.4,190489.98,74070.47,285734.96,142867.48,74070.47
"(-15448.0454, 145284.8346)","(-15530.0903, 145282.9631)",82.066,10.2,396441.99,154153.23,594662.99,297331.49,154153.23
"(-15448.0454, 145284.8346)","(-15423.9614, 145286.9142)",24.174,10.2,116776.85,45407.72,175165.27,87582.64,45407.72
"(-15541.417, 146671.943)","(-15516.1525, 146622.8037)",55.254,19.4,266916.9,103788.45,400375.35,200187.67,103788.45
"(-15541.417, 146671.943)","(-15539.3818, 146673.1485)",2.365,19.4,11426.83,4443.23,17140.24,8570.12,4443.23
"(-14999.2972, 146002.1267)","(-15005.5415, 145960.553)",26.523,28.8,199310.74,71182.41,298966.12,149483.06,71182.41
"(-14999.2972, 146002.1267)","(-15031.8898, 145952.6863)",0.68,26.6,5110.62,1825.22,7665.93,3832.96,1825.22
"(-13985.3918, 146045.0249)","(-14028.35, 146006.1513)",64.497,16.4,311568.47,121150.86,467352.71,233676.36,121150.86
"(-14761.304, 146289.6486)","(-14761.0225, 146289.2718)",23.554,23.2,113783.36,44243.73,170675.05,85337.52,44243.73
"(-14761.304, 146289.6486)","(-14761.684, 146289.2719)",23.989,23.2,115885.86,45061.27,173828.79,86914.39,45061.27
"(-14794.3834, 146333.0311)","(-14790.0579, 146378.7783)",43.424,23.2,209769.21,81567.04,314653.81,157326.91,81567.04
"(-15512.0929, 145153.2849)","(-15458.039, 145182.4776)",61.433,10.2,296768.79,115396.12,445153.19,222576.59,115396.12
"(-14378.4194, 145527.2977)","(-14334.0871, 145457.4599)",0.129,18.2,624.9,242.99,937.35,468.67,242.99
"(-14378.4194, 145527.2977)","(-14362.2232, 145571.0409)",0.47,18.2,2269.68,882.55,3404.52,1702.26,882.55
"(-15147.5469, 146095.1645)","(-15154.4154, 146158.665)",58.148,23.4,280896.85,109224.44,421345.27,210672.63,109224.44
"(-14244.4908, 145404.3212)","(-14294.9293, 145437.8803)",0.141,18.2,678.92,263.99,1018.37,509.19,263.99
"(-14982.0623, 147488.5494)","(-15008.1325, 147434.5269)",32.32,18.2,156130.42,60710.04,234195.62,117097.81,60710.04
"(-14982.0623, 147488.5494)","(-14941.1132, 147469.8191)",53.975,18.2,260740.28,101386.73,391110.42,195555.21,101386.73
"(-15385.0115, 146163.3883)","(-15369.0319, 146123.054)",70.206,21.5,339146.96,131874.52,508720.43,254360.22,131874.52
"(-15385.0115, 146163.3883)","(-15381.0566, 146181.3697)",81.356,21.5,393011.19,152819.19,589516.78,294758.39,152819.19
"(-14666.5434, 146090.5563)","(-14646.6996, 146093.7313)",8.175,26.6,61428.04,21938.59,92142.06,46071.03,21938.59
"(-14666.5434, 146090.5563)","(-14730.6864, 146075.2006)",20.986,26.6,157701.54,56321.98,236552.3,118276.15,56321.98
"(-14333.9174, 146411.9651)","(-14252.5577, 146429.076)",65.542,18.2,316616.03,123113.56,474924.05,237462.02,123113.56
"(-14333.9174, 146411.9651)","(-14333.3671, 146462.0803)",14.565,18.2,70362.0,27359.69,105543.0,52771.5,27359.69
"(-14333.9174, 146411.9651)","(-14357.0863, 146373.6437)",4.126,18.2,19932.77,7750.69,29899.15,14949.57,7750.69
