301.78 * C_node3node31_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
213.94 * C_node3node31_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1509.0 * C_node3node31_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1270.54 * C_node3node31_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
900.71 * C_node3node31_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
638.53 * C_node3node31_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
452.67 * C_node3node31_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
320.9 * C_node3node31_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node42_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node42_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node42_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node42_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node42_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node42_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node42_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node42_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node42_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node42_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node42_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node42_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node43_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node43_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node43_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node43_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node43_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node43_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node43_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node43_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node43_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node43_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node43_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
