variable,coefficient,type,prefix,width,edge,period
C_node5node39_timber_t4,722.64,B,C,timber,,4
C_node5node39_timber_t5,512.3,B,C,timber,,5
C_node5node39_wide_t0,3616.0,B,C,wide,,0
C_node5node39_wide_t1,3044.57,B,C,wide,,1
C_node5node39_wide_t2,2158.36,B,C,wide,,2
C_node5node39_wide_t3,1530.1,B,C,wide,,3
C_node5node39_wide_t4,1084.72,B,C,wide,,4
C_node5node39_wide_t5,768.98,B,C,wide,,5
C_node5node11_timber_t0,1865.0,B,C,timber,,0
C_node5node11_timber_t1,1570.28,B,C,timber,,1
C_node5node11_timber_t2,1113.2,B,C,timber,,2
C_node5node11_timber_t3,789.17,B,C,timber,,3
C_node5node11_timber_t4,559.46,B,C,timber,,4
C_node5node11_timber_t5,396.61,B,C,timber,,5
C_node5node11_wide_t0,2793.0,B,C,wide,,0
C_node5node11_wide_t1,2351.63,B,C,wide,,1
C_node5node11_wide_t2,1667.12,B,C,wide,,2
C_node5node11_wide_t3,1181.85,B,C,wide,,3
C_node5node11_wide_t4,837.84,B,C,wide,,4
C_node5node11_wide_t5,593.96,B,C,wide,,5
C_node5node24_timber_t0,799.0,B,C,timber,,0
C_node5node24_timber_t1,672.74,B,C,timber,,1
C_node5node24_timber_t2,476.92,B,C,timber,,2
C_node5node24_timber_t3,338.09,B,C,timber,,3
C_node5node24_timber_t4,239.68,B,C,timber,,4
C_node5node24_timber_t5,169.91,B,C,timber,,5
C_node5node24_wide_t0,1200.0,B,C,wide,,0
C_node5node24_wide_t1,1010.37,B,C,wide,,1
C_node5node24_wide_t2,716.27,B,C,wide,,2
C_node5node24_wide_t3,507.78,B,C,wide,,3
C_node5node24_wide_t4,359.97,B,C,wide,,4
C_node5node24_wide_t5,255.19,B,C,wide,,5
C_node5node81_timber_t0,0.0,B,C,timber,,0
C_node5node81_timber_t1,0.0,B,C,timber,,1
C_node5node81_timber_t2,0.0,B,C,timber,,2
C_node5node81_timber_t3,0.0,B,C,timber,,3
C_node5node81_timber_t4,0.0,B,C,timber,,4
C_node5node81_timber_t5,0.0,B,C,timber,,5
C_node5node81_wide_t0,0.0,B,C,wide,,0
C_node5node81_wide_t1,0.0,B,C,wide,,1
C_node5node81_wide_t2,0.0,B,C,wide,,2
C_node5node81_wide_t3,0.0,B,C,wide,,3
C_node5node81_wide_t4,0.0,B,C,wide,,4
C_node5node81_wide_t5,0.0,B,C,wide,,5
C_node5node83_timber_t0,0.0,B,C,timber,,0
C_node5node83_timber_t1,0.0,B,C,timber,,1
C_node5node83_timber_t2,0.0,B,C,timber,,2
C_node5node83_timber_t3,0.0,B,C,timber,,3
C_node5node83_timber_t4,0.0,B,C,timber,,4
C_node5node83_timber_t5,0.0,B,C,timber,,5
C_node5node83_wide_t0,0.0,B,C,wide,,0
C_node5node83_wide_t1,0.0,B,C,wide,,1
C_node5node83_wide_t2,0.0,B,C,wide,,2
C_node5node83_wide_t3,0.0,B,C,wide,,3
