C_wide_node4node20_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node20_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node104_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node104_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node104_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node104_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node104_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node104_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node104_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node104_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node104_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node104_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node104_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node104_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node17_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node17_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node17_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node17_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node17_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node17_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node17_t0: lb=0.0, ub=0.0, type=B, cost=N/A
