"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-13121.22238, 149067.73671)","(-12911.237, 149019.71742)",0.0,False,True,0,0,0,0,0,False,
"(-12376.80708, 146880.38561)","(-12225.39426, 146864.2554)",0.17138518258657648,True,False,827,321,1242,321,621,False,"[(-12313.59968, 146834.82901), (-12260.58868, 146857.39641)]"
"(-12376.80708, 146880.38561)","(-12573.93998, 146944.30511)",0.21628046629887,False,False,1045,407,1567,407,784,False,"[(-12422.89798, 146902.37141), (-12476.31028, 146897.38891), (-12518.42598, 146932.46091)]"
"(-12376.80708, 146880.38561)","(-12150.41828, 147034.86361)",0.33440436644086474,False,False,1616,628,2424,628,1212,False,"[(-12339.89678, 146919.53631), (-12282.05788, 146930.75591), (-12227.37888, 146947.12761), (-12175.38008, 146983.42491), (-12204.74978, 147015.54981)]"
"(-12376.80708, 146880.38561)","(-12465.81377, 147031.14202)",0.0,False,True,0,0,0,0,0,False,
"(-12169.65998, 150016.73191)","(-12193.48708, 149840.19281)",0.1784372219415514,False,False,861,335,1293,335,647,False,"[(-12176.74988, 149962.95391), (-12178.55128, 149919.42121)]"
"(-12169.65998, 150016.73191)","(-11828.98588, 150328.93911)",0.4740496449490088,False,False,2291,890,3434,890,1718,False,"[(-12108.30538, 150088.12301), (-12063.54948, 150107.10711), (-12022.83238, 150138.88091), (-11976.63918, 150172.33491), (-11917.03128, 150199.35311), (-11879.28168, 150266.12291)]"
"(-12169.65998, 150016.73191)","(-11960.48012, 150082.8279)",0.0,False,True,0,0,0,0,0,False,
"(-12169.65998, 150016.73191)","(-12666.14925, 149667.58121)",0.0,False,True,0,0,0,0,0,False,
"(-12415.94768, 150663.74621)","(-12204.39288, 150703.88121)",0.21567887860888887,False,False,1042,405,1563,405,782,False,"[(-12365.66668, 150677.12771), (-12251.47948, 150693.90301)]"
"(-12415.94768, 150663.74621)","(-12417.27058, 150801.19761)",0.13866917286435324,False,False,669,260,1004,260,503,False,"[(-12421.74528, 150742.48411), (-12415.23688, 150764.33811)]"
"(-12415.94768, 150663.74621)","(-12664.03048, 150521.83051)",0.29062267512531725,False,False,1404,547,2106,547,1053,False,"[(-12525.96538, 150578.01241), (-12533.63708, 150572.89981), (-12590.86738, 150538.64181), (-12605.21968, 150535.34401), (-12644.91878, 150526.22201)]"
"(-12415.94768, 150663.74621)","(-12482.69789, 150476.59119)",0.0,False,True,0,0,0,0,0,False,
"(-12415.94768, 150663.74621)","(-12567.75859, 150668.47886)",0.0,False,True,0,0,0,0,0,False,
"(-12580.68998, 146607.75611)","(-12451.77348, 146591.56311)",0.13186694186396372,True,False,636,249,956,249,478,False,"[(-12527.21298, 146606.28051), (-12462.34318, 146599.35461)]"
"(-12580.68998, 146607.75611)","(-12645.86123, 146575.13652)",0.15277533898234866,True,False,1148,410,1721,410,861,False,"[(-12623.79488, 146574.70591), (-12641.10768, 146527.34251)]"
"(-12580.68998, 146607.75611)","(-12573.93998, 146944.30511)",0.3566823709744719,False,False,2681,957,4020,957,2010,False,"[(-12556.11648, 146675.55061), (-12533.73238, 146824.37381), (-12533.73238, 146894.22391)]"
"(-12730.49258, 147044.27301)","(-12856.57828, 147058.04901)",0.12811362810045235,True,False,962,344,1444,344,722,False,"[(-12776.82158, 147040.61321)]"
"(-12730.49258, 147044.27301)","(-12573.93998, 146944.30511)",0.1922744884157048,False,False,1445,516,2167,516,1084,False,"[(-12684.12008, 146989.97441), (-12637.91278, 146960.26091)]"
"(-12730.49258, 147044.27301)","(-12465.81377, 147031.14202)",0.0,False,True,0,0,0,0,0,False,
"(-12962.70158, 148897.86801)","(-12845.70708, 148850.55401)",0.14157612786833312,False,False,684,266,1025,266,513,False,"[(-12914.18108, 148864.15011), (-12874.11498, 148834.48531)]"
"(-12962.70158, 148897.86801)","(-13362.52288, 148952.37821)",0.4658407680403379,True,False,2250,875,3375,875,1689,False,"[(-13041.29728, 148883.30861), (-13087.73788, 148918.36311), (-13143.44238, 148934.16261), (-13198.17188, 148890.92641), (-13260.26068, 148884.91541), (-13302.28988, 148879.11011), (-13324.95198, 148904.48851), (-13344.79578, 148924.33221)]"
"(-12962.70158, 148897.86801)","(-12911.237, 149019.71742)",0.0,False,True,0,0,0,0,0,False,
"(-13242.88528, 149724.48541)","(-13198.59018, 149677.26611)",0.06474347979912591,False,False,487,174,730,174,365,26.3511,
"(-13242.88528, 149724.48541)","(-13398.16458, 149824.60111)",0.21028491359350618,False,False,1579,564,2370,564,1186,False,"[(-13348.41158, 149774.33681)]"
"(-13242.88528, 149724.48541)","(-13157.07228, 150118.38961)",0.4326419703371503,False,False,2090,812,3134,812,1566,False,"[(-13206.75068, 149755.59301), (-13196.26468, 149764.62041), (-13169.85458, 149837.39311), (-13152.54918, 149934.52671), (-13151.22618, 149998.02681), (-13175.03878, 150023.16231)]"
"(-13242.88528, 149724.48541)","(-13032.42201, 149899.99789)",0.0,False,True,0,0,0,0,0,False,
"(-13242.88528, 149724.48541)","(-13301.84237, 149934.63369)",0.0,False,True,0,0,0,0,0,False,
