"Source(x,y)","Target(x,y)"
"(-12090.12278, 148160.55131)","(-12033.33143, 148289.34676)"
"(-12708.81718, 147887.38281)","(-12077.01318, 148042.24901)"
"(-12708.81718, 147887.38281)","(-12784.22368, 147864.57911)"
"(-12708.81718, 147887.38281)","(-12523.52258, 148105.74521)"
"(-12708.81718, 147887.38281)","(-12771.5825, 148051.46174)"
"(-14451.34568, 148138.03471)","(-14588.57088, 148086.74141)"
"(-14451.34568, 148138.03471)","(-14261.58618, 148060.00501)"
"(-14451.34568, 148138.03471)","(-14784.72258, 148459.94331)"
"(-14451.34568, 148138.03471)","(-14646.58932, 148243.81285)"
"(-14588.57088, 148086.74141)","(-14451.34568, 148138.03471)"
"(-14588.57088, 148086.74141)","(-14792.76558, 147894.42081)"
"(-14588.57088, 148086.74141)","(-14784.72258, 148459.94331)"
"(-14588.57088, 148086.74141)","(-14646.58932, 148243.81285)"
"(-14784.72258, 148459.94331)","(-14451.34568, 148138.03471)"
"(-14784.72258, 148459.94331)","(-14923.24858, 148582.19891)"
"(-14784.72258, 148459.94331)","(-14588.57088, 148086.74141)"
"(-14784.72258, 148459.94331)","(-14646.58932, 148243.81285)"
"(-14646.58932, 148243.81285)","(-14451.34568, 148138.03471)"
"(-14646.58932, 148243.81285)","(-14588.57088, 148086.74141)"
"(-14646.58932, 148243.81285)","(-14784.72258, 148459.94331)"
"(-12936.77568, 150847.07991)","(-12903.30308, 150870.32291)"
"(-12936.77568, 150847.07991)","(-12976.39239, 150817.80705)"
"(-12903.30308, 150870.32291)","(-12936.77568, 150847.07991)"
"(-12903.30308, 150870.32291)","(-12882.46849, 150884.95349)"
"(-12903.30308, 150870.32291)","(-12730.80248, 150707.27031)"
"(-12976.39239, 150817.80705)","(-12936.77568, 150847.07991)"
"(-12976.39239, 150817.80705)","(-12989.03628, 150813.47421)"
"(-13121.22238, 149067.73671)","(-13153.70138, 149198.15421)"
"(-13121.22238, 149067.73671)","(-12962.70158, 148897.86801)"
"(-13121.22238, 149067.73671)","(-13362.52288, 148952.37821)"
"(-13121.22238, 149067.73671)","(-12911.237, 149019.71742)"
"(-13153.70138, 149198.15421)","(-13121.22238, 149067.73671)"
"(-13153.70138, 149198.15421)","(-13191.91595, 149213.96773)"
"(-13153.70138, 149198.15421)","(-12967.41188, 149141.69051)"
"(-13153.70138, 149198.15421)","(-12911.237, 149019.71742)"
"(-12962.70158, 148897.86801)","(-13121.22238, 149067.73671)"
"(-12962.70158, 148897.86801)","(-12845.70708, 148850.55401)"
"(-12962.70158, 148897.86801)","(-13362.52288, 148952.37821)"
"(-12962.70158, 148897.86801)","(-12911.237, 149019.71742)"
"(-12911.237, 149019.71742)","(-13121.22238, 149067.73671)"
"(-12911.237, 149019.71742)","(-12962.70158, 148897.86801)"
"(-12911.237, 149019.71742)","(-13153.70138, 149198.15421)"
"(-12911.237, 149019.71742)","(-12967.41188, 149141.69051)"
"(-12911.237, 149019.71742)","(-12615.97978, 149059.73551)"
"(-12911.237, 149019.71742)","(-12845.70708, 148850.55401)"
"(-12376.80708, 146880.38561)","(-12225.39426, 146864.2554)"
"(-12376.80708, 146880.38561)","(-12573.93998, 146944.30511)"
"(-12376.80708, 146880.38561)","(-12150.41828, 147034.86361)"
"(-12376.80708, 146880.38561)","(-12465.81377, 147031.14202)"
"(-12225.39426, 146864.2554)","(-12376.80708, 146880.38561)"
"(-12225.39426, 146864.2554)","(-12203.62278, 146868.49841)"
"(-12573.93998, 146944.30511)","(-12376.80708, 146880.38561)"
"(-12573.93998, 146944.30511)","(-12580.68998, 146607.75611)"
"(-12573.93998, 146944.30511)","(-12730.49258, 147044.27301)"
"(-12573.93998, 146944.30511)","(-12465.81377, 147031.14202)"
"(-11828.98588, 150328.93911)","(-12169.65998, 150016.73191)"
"(-11828.98588, 150328.93911)","(-11771.13658, 150069.97271)"
"(-11828.98588, 150328.93911)","(-11953.75679, 150358.93574)"
"(-11828.98588, 150328.93911)","(-11960.48012, 150082.8279)"
"(-11960.48012, 150082.8279)","(-12169.65998, 150016.73191)"
"(-11960.48012, 150082.8279)","(-12193.48708, 149840.19281)"
"(-11960.48012, 150082.8279)","(-11771.13658, 150069.97271)"
"(-11960.48012, 150082.8279)","(-11828.98588, 150328.93911)"
"(-12415.94768, 150663.74621)","(-12204.39288, 150703.88121)"
"(-12415.94768, 150663.74621)","(-12417.27058, 150801.19761)"
"(-12415.94768, 150663.74621)","(-12664.03048, 150521.83051)"
"(-12415.94768, 150663.74621)","(-12482.69789, 150476.59119)"
"(-12415.94768, 150663.74621)","(-12567.75859, 150668.47886)"
"(-12204.39288, 150703.88121)","(-12415.94768, 150663.74621)"
"(-12204.39288, 150703.88121)","(-12193.00388, 150408.57981)"
"(-12204.39288, 150703.88121)","(-12171.05377, 150701.3403)"
