"Source(x,y)","Target(x,y)"
"(-15219.81608, 148776.07505)","(-15146.14858, 148863.64541)"
"(-14008.98295, 147819.37167)","(-13982.38488, 147789.31921)"
"(-13290.59419, 147587.12927)","(-13982.38488, 147789.31921)"
"(-13834.29961, 147525.29238)","(-13982.38488, 147789.31921)"
"(-14083.29341, 148038.77795)","(-13982.38488, 147789.31921)"
"(-12386.28884, 148885.11053)","(-12361.91348, 148875.38871)"
"(-12349.08022, 148846.29724)","(-12361.91348, 148875.38871)"
"(-12184.55648, 149235.42661)","(-12361.91348, 148875.38871)"
"(-12704.06565, 148795.67262)","(-12361.91348, 148875.38871)"
"(-12231.82597, 148897.55227)","(-12361.91348, 148875.38871)"
"(-14151.45153, 147604.69307)","(-14132.75218, 147599.00951)"
"(-14081.64748, 147738.70341)","(-14132.75218, 147599.00951)"
"(-14027.63359, 147523.27423)","(-14132.75218, 147599.00951)"
"(-14094.27527, 147414.05318)","(-14132.75218, 147599.00951)"
"(-13834.29961, 147525.29238)","(-14132.75218, 147599.00951)"
"(-14277.69766, 147701.86858)","(-14132.75218, 147599.00951)"
"(-13935.6851, 147853.47208)","(-13656.34528, 147921.06891)"
"(-13634.20328, 148057.00371)","(-13656.34528, 147921.06891)"
"(-13290.59419, 147587.12927)","(-13656.34528, 147921.06891)"
"(-13432.83625, 147809.62672)","(-13656.34528, 147921.06891)"
"(-13827.41254, 148018.7185)","(-13656.34528, 147921.06891)"
"(-13205.88928, 149216.96201)","(-13255.63098, 149270.93711)"
"(-13310.96519, 149117.31268)","(-13255.63098, 149270.93711)"
"(-13254.19366, 149464.37443)","(-13255.63098, 149270.93711)"
"(-12146.24188, 150392.86561)","(-12193.00388, 150408.57981)"
"(-12630.04948, 150215.18591)","(-12193.00388, 150408.57981)"
"(-12204.39288, 150703.88121)","(-12193.00388, 150408.57981)"
"(-12244.76529, 150210.78863)","(-12193.00388, 150408.57981)"
"(-12482.69789, 150476.59119)","(-12193.00388, 150408.57981)"
"(-13527.59794, 149705.86484)","(-13513.26518, 149711.07671)"
