"Source(x,y)","Target(x,y)"
"(-13592.64028, 149533.99081)","(-13344.55208, 149283.23872)"
"(-13005.98838, 148606.90471)","(-12845.70708, 148850.55401)"
"(-13005.98838, 148606.90471)","(-12471.95778, 148790.06951)"
"(-13005.98838, 148606.90471)","(-12994.57238, 148531.33661)"
"(-13005.98838, 148606.90471)","(-12704.06565, 148795.67262)"
"(-13005.98838, 148606.90471)","(-12703.09936, 148577.1192)"
"(-14923.24858, 148582.19891)","(-14784.72258, 148459.94331)"
"(-14923.24858, 148582.19891)","(-15028.03215, 148863.75522)"
"(-13912.17588, 148174.97421)","(-14082.90658, 148243.02061)"
"(-13912.17588, 148174.97421)","(-13827.41254, 148018.7185)"
"(-13912.17588, 148174.97421)","(-14083.29341, 148038.77795)"
"(-12253.57308, 147164.96431)","(-12445.81777, 147294.8568)"
"(-12253.57308, 147164.96431)","(-12465.81377, 147031.14202)"
"(-13157.07228, 150118.38961)","(-13227.07898, 150146.22091)"
"(-13157.07228, 150118.38961)","(-12880.92928, 150025.69071)"
"(-13157.07228, 150118.38961)","(-13032.42201, 149899.99789)"
"(-13157.07228, 150118.38961)","(-13301.84237, 149934.63369)"
"(-12641.36178, 148195.25691)","(-12599.68638, 148243.06201)"
"(-12641.36178, 148195.25691)","(-12523.52258, 148105.74521)"
"(-12641.36178, 148195.25691)","(-12939.92328, 148186.61558)"
"(-12641.36178, 148195.25691)","(-12771.5825, 148051.46174)"
"(-11828.98588, 150328.93911)","(-11953.75679, 150358.93574)"
"(-11828.98588, 150328.93911)","(-11960.48012, 150082.8279)"
"(-12431.95498, 150877.72851)","(-12466.50368, 150966.41501)"
"(-14540.70728, 149022.29541)","(-14200.06897, 148883.78631)"
"(-12451.77348, 146591.56311)","(-12203.62278, 146868.49841)"
"(-12379.68718, 149572.13951)","(-12695.44878, 149352.03591)"
"(-12379.68718, 149572.13951)","(-12666.14925, 149667.58121)"
"(-12379.68718, 149572.13951)","(-12107.60039, 149563.08518)"
"(-12856.57828, 147058.04901)","(-13023.58006, 147093.60981)"
"(-14588.57088, 148086.74141)","(-14784.72258, 148459.94331)"
"(-14588.57088, 148086.74141)","(-14646.58932, 148243.81285)"
"(-12902.22938, 147791.44611)","(-12689.95068, 147506.21071)"
"(-12902.22938, 147791.44611)","(-12784.22368, 147864.57911)"
"(-12902.22938, 147791.44611)","(-12802.25184, 147648.57319)"
"(-12902.22938, 147791.44611)","(-13290.59419, 147587.12927)"
"(-12599.68638, 148243.06201)","(-12641.66028, 148300.17291)"
"(-12599.68638, 148243.06201)","(-12005.01458, 148333.32061)"
"(-12599.68638, 148243.06201)","(-12939.92328, 148186.61558)"
"(-14908.31698, 148833.23941)","(-14559.30131, 148727.3699)"
"(-14908.31698, 148833.23941)","(-14725.76647, 148708.12995)"
"(-14908.31698, 148833.23941)","(-15028.03215, 148863.75522)"
"(-12489.67768, 147669.66561)","(-12689.95068, 147506.21071)"
"(-12489.67768, 147669.66561)","(-12340.19063, 147770.23171)"
"(-12489.67768, 147669.66561)","(-12802.25184, 147648.57319)"
"(-12695.44878, 149352.03591)","(-12743.46288, 149316.06771)"
"(-12695.44878, 149352.03591)","(-12355.92176, 149299.8976)"
"(-12695.44878, 149352.03591)","(-12666.14925, 149667.58121)"
"(-14784.72258, 148459.94331)","(-14646.58932, 148243.81285)"
"(-12994.57238, 148531.33661)","(-12641.66028, 148300.17291)"
"(-12994.57238, 148531.33661)","(-12939.92328, 148186.61558)"
"(-12994.57238, 148531.33661)","(-12703.09936, 148577.1192)"
"(-12967.41188, 149141.69051)","(-12931.20988, 149482.68611)"
"(-12967.41188, 149141.69051)","(-12615.97978, 149059.73551)"
"(-12967.41188, 149141.69051)","(-12847.34169, 149222.21063)"
"(-12967.41188, 149141.69051)","(-12911.237, 149019.71742)"
"(-13269.46868, 147377.14501)","(-13345.51158, 147527.30121)"
"(-13269.46868, 147377.14501)","(-13290.59419, 147587.12927)"
"(-13269.46868, 147377.14501)","(-13413.54337, 147534.53855)"
"(-12708.81718, 147887.38281)","(-12784.22368, 147864.57911)"
"(-12708.81718, 147887.38281)","(-12523.52258, 148105.74521)"
"(-12708.81718, 147887.38281)","(-12771.5825, 148051.46174)"
"(-12314.97658, 147203.97811)","(-12445.81777, 147294.8568)"
"(-12676.38838, 147401.01541)","(-12689.95068, 147506.21071)"
"(-12676.38838, 147401.01541)","(-13290.59419, 147587.12927)"
"(-12880.92928, 150025.69071)","(-12713.51408, 150173.77301)"
"(-12880.92928, 150025.69071)","(-13032.42201, 149899.99789)"
"(-12880.92928, 150025.69071)","(-12571.66956, 150052.70114)"
"(-12903.30308, 150870.32291)","(-12882.46849, 150884.95349)"
"(-12903.30308, 150870.32291)","(-12730.80248, 150707.27031)"
"(-12131.75518, 149344.27771)","(-12355.92176, 149299.8976)"
"(-12641.66028, 148300.17291)","(-12087.62932, 148492.70236)"
"(-12641.66028, 148300.17291)","(-12939.92328, 148186.61558)"
"(-12641.66028, 148300.17291)","(-12703.09936, 148577.1192)"
"(-13227.07898, 150146.22091)","(-13265.02588, 150442.04271)"
"(-13227.07898, 150146.22091)","(-13301.84237, 149934.63369)"
"(-13498.77538, 150497.94221)","(-13053.49218, 150786.17611)"
"(-11721.16148, 150038.74081)","(-11669.25283, 149932.36009)"
"(-12471.95778, 148790.06951)","(-12704.06565, 148795.67262)"
"(-12471.95778, 148790.06951)","(-12703.09936, 148577.1192)"
"(-12615.97978, 149059.73551)","(-12845.70708, 148850.55401)"
"(-12615.97978, 149059.73551)","(-12743.46288, 149316.06771)"
"(-12615.97978, 149059.73551)","(-12847.34169, 149222.21063)"
"(-12615.97978, 149059.73551)","(-12704.06565, 148795.67262)"
"(-12615.97978, 149059.73551)","(-12911.237, 149019.71742)"
"(-12146.24188, 150392.86561)","(-11953.75679, 150358.93574)"
"(-13345.51158, 147527.30121)","(-13212.37538, 147764.49301)"
"(-13345.51158, 147527.30121)","(-13432.83625, 147809.62672)"
"(-13345.51158, 147527.30121)","(-13290.59419, 147587.12927)"
"(-13345.51158, 147527.30121)","(-13413.54337, 147534.53855)"
"(-14459.27998, 148782.04391)","(-14486.36158, 148966.53891)"
"(-14459.27998, 148782.04391)","(-14269.57668, 148533.53211)"
"(-14459.27998, 148782.04391)","(-14345.5093, 148722.57501)"
"(-12466.50368, 150966.41501)","(-12574.02218, 150958.16571)"
"(-12466.50368, 150966.41501)","(-12403.7768, 150994.82511)"
"(-13212.37538, 147764.49301)","(-13432.83625, 147809.62672)"
"(-13212.37538, 147764.49301)","(-13290.59419, 147587.12927)"
"(-14069.35638, 148584.14781)","(-14200.06897, 148883.78631)"
"(-14069.35638, 148584.14781)","(-14069.78638, 148330.28551)"
"(-14041.91648, 147856.58241)","(-14027.63358, 147523.27423)"
"(-14041.91648, 147856.58241)","(-14083.29341, 148038.77795)"
"(-13801.13578, 150223.65781)","(-13515.87128, 150205.52941)"
"(-13801.13578, 150223.65781)","(-13898.65996, 150339.52273)"
"(-13801.13578, 150223.65781)","(-13643.11667, 150156.67757)"
