Node,Stand
"(-11771.29168, 147565.52741)",[1093]
"(-11727.63538, 147599.92341)",[1093]
"(-11689.27088, 147599.92341)",[1093]
"(-11660.16668, 147619.76711)",[1093]
"(-11631.18218, 147630.20151)","[1256, 1093]"
"(-11630.02818, 147602.50491)","[1256, 1093]"
"(-11623.20188, 147581.12111)","[1256, 1093]"
"(-11640.43388, 147547.99661)","[1256, 1093]"
"(-11915.1548, 147459.44344)",[1093]
"(-12382.76938, 147328.84581)",[1091]
"(-12395.46938, 147302.38751)",[1091]
"(-12424.04438, 147308.73751)",[1091]
"(-12153.00868, 147457.04351)",[1091]
"(-12125.70388, 147420.09881)",[1091]
"(-12149.19498, 147380.64721)",[1091]
"(-12234.54338, 147361.84591)",[1091]
"(-12287.36088, 147327.06261)",[1091]
"(-12440.45547, 147314.40693)",[1091]
"(-11338.22208, 147664.89681)",[1256]
"(-11282.40848, 147651.99271)",[1256]
"(-11278.82848, 147650.39841)",[1256]
"(-11271.26558, 147647.03021)",[1256]
"(-11227.12008, 147608.29111)",[1256]
"(-11183.76458, 147549.75061)",[1256]
"(-11132.66948, 147480.70801)",[1256]
"(-11144.96408, 147439.76631)",[1256]
"(-11155.29058, 147375.72601)",[1256]
"(-11165.64668, 147303.69951)",[1256]
"(-11178.44578, 147234.26681)",[1256]
"(-11198.00838, 147154.67671)",[1256]
"(-11234.05258, 147090.07501)",[1256]
"(-11292.25928, 147119.09231)",[1256]
"(-11313.27818, 147196.90301)",[1256]
"(-11360.08788, 147275.59661)",[1256]
"(-11335.19898, 147334.29751)",[1256]
"(-11272.63738, 147349.18341)",[1256]
"(-11278.24178, 147401.84521)",[1256]
"(-11325.11478, 147440.55591)",[1256]
"(-11363.78338, 147488.58841)",[1256]
"(-11410.90468, 147522.92861)",[1256]
"(-11447.20078, 147533.71311)",[1256]
"(-11488.87278, 147535.03611)",[1256]
"(-11522.60718, 147531.33191)",[1256]
"(-11627.09388, 147631.67331)",[1256]
"(-11629.73958, 147656.80881)",[1256]
"(-11596.66668, 147745.44441)",[1256]
"(-11535.81258, 147782.48601)",[1256]
"(-11460.40638, 147777.19431)",[1256]
"(-11391.61478, 147775.87141)",[1256]
"(-11338.69818, 147842.01731)",[1256]
"(-11299.36088, 147821.94941)",[1256]
"(-11263.26348, 147771.65761)",[1256]
"(-11330.76228, 147724.21441)",[1256]
"(-11342.47868, 147667.47871)",[1256]
"(-11337.90718, 147666.42181)",[1256]
"(-12489.67768, 147669.66561)","[1028, 1030]"
"(-12528.44058, 147711.25951)","[1028, 1030]"
"(-12578.98338, 147718.20081)","[1028, 1030]"
"(-12648.09898, 147728.21881)","[1028, 1029, 1030]"
"(-12609.67768, 147757.23341)","[1028, 1029]"
"(-12564.73848, 147774.76341)","[1028, 1029]"
"(-12514.73228, 147766.63661)","[1028, 1029]"
"(-12451.70018, 147801.97291)","[1028, 1029]"
"(-12416.56418, 147862.55441)","[1028, 1029]"
"(-12364.71398, 147902.56221)","[1028, 1029]"
"(-12294.54198, 147900.82941)","[1028, 1029]"
"(-12248.74448, 147900.46851)","[1028, 1029]"
"(-12196.46238, 147903.70951)","[1028, 1029]"
"(-12183.74028, 147860.63871)",[1028]
"(-12140.00248, 147793.29121)",[1028]
"(-12168.39498, 147729.99981)",[1028]
"(-12225.78348, 147661.16791)",[1028]
"(-12287.92638, 147645.71791)",[1028]
"(-12375.50178, 147663.54341)",[1028]
"(-12424.24218, 147673.40481)",[1028]
"(-12077.01318, 148042.24901)","[1026, 1029]"
"(-12101.04848, 147981.32041)",[1029]
"(-12151.33378, 147929.03891)",[1029]
"(-12705.39588, 147708.08961)","[1029, 1030]"
"(-12755.29048, 147673.55291)","[1029, 1030]"
"(-12818.41788, 147696.23391)","[1029, 1030]"
"(-12850.23428, 147764.85681)","[1029, 1030]"
"(-12902.22938, 147791.44611)","[1253, 1029, 1030]"
"(-12859.91738, 147844.52321)","[1253, 1029]"
"(-12784.22368, 147864.57911)","[1253, 1027, 1029]"
"(-12708.81718, 147887.38281)","[1026, 1027, 1029]"
"(-12658.56278, 147848.61341)","[1026, 1029]"
"(-12606.90668, 147871.64211)","[1026, 1029]"
"(-12580.49798, 147908.63611)","[1026, 1029]"
"(-12561.85588, 147952.67561)","[1026, 1029]"
"(-12515.77118, 147963.94661)","[1026, 1029]"
"(-12480.70248, 147991.54901)","[1026, 1029]"
"(-12437.44078, 147983.07991)","[1026, 1029]"
"(-12355.92308, 147986.57611)","[1026, 1029]"
"(-12292.55448, 148046.32871)","[1026, 1029]"
"(-12205.69488, 148070.64401)","[1026, 1029]"
"(-12167.63848, 148078.60181)","[1026, 1029]"
"(-12137.10618, 148084.98631)","[1026, 1029]"
"(-12081.56955, 148030.69878)",[1029]
"(-12165.39827, 147921.14491)",[1029]
"(-12090.12278, 148160.55131)","[1024, 1026]"
"(-12075.25228, 148124.91251)",[1026]
"(-12069.69608, 148083.63751)",[1026]
"(-12698.29638, 147918.01801)","[1026, 1027]"
"(-12656.85068, 147956.92671)","[1026, 1027]"
"(-12650.61168, 148004.78461)","[1026, 1027]"
"(-12652.37748, 148061.83361)","[1026, 1027]"
"(-12597.82108, 148084.21641)","[1026, 1027]"
"(-12523.52258, 148105.74521)","[1024, 1026, 1027]"
