301.98 * C_node5node11_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node93_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node93_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node93_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node93_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node93_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node93_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node93_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node93_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node93_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node93_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node93_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node93_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node94_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node94_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node94_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node94_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node94_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node94_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node94_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node94_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node94_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node94_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node94_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node94_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
90.0 * C_node6node24_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
75.78 * C_node6node24_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
53.72 * C_node6node24_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
38.08 * C_node6node24_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
27.0 * C_node6node24_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
19.14 * C_node6node24_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
135.0 * C_node6node24_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
113.67 * C_node6node24_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
80.58 * C_node6node24_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
57.12 * C_node6node24_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
40.5 * C_node6node24_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
28.71 * C_node6node24_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
745.0 * C_node6node60_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
627.27 * C_node6node60_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
444.68 * C_node6node60_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
315.24 * C_node6node60_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
223.48 * C_node6node60_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
