"Source(x,y)","Target(x,y)"
"(-12425.26918, 146572.02501)","(-12419.48714, 146353.17934)"
"(-12425.26918, 146572.02501)","(-12229.4852, 146691.79924)"
"(-12425.26918, 146572.02501)","(-12416.58816, 146754.19929)"
"(-11360.44038, 144863.96811)","(-11274.31335, 144903.57648)"
"(-11360.44038, 144863.96811)","(-11474.53728, 145036.98431)"
"(-11360.44038, 144863.96811)","(-11076.49878, 144696.99751)"
"(-11360.44038, 144863.96811)","(-11445.56428, 144561.99741)"
"(-11360.44038, 144863.96811)","(-11270.07058, 144708.82726)"
"(-11360.44038, 144863.96811)","(-11527.59886, 144721.10856)"
"(-11360.44038, 144863.96811)","(-11298.50872, 145094.28111)"
"(-11360.44038, 144863.96811)","(-10899.29296, 145033.64337)"
"(-11292.57138, 146694.10811)","(-11657.10278, 146836.53971)"
"(-11292.57138, 146694.10811)","(-11113.07018, 146571.39151)"
"(-11292.57138, 146694.10811)","(-11535.17588, 146511.60567)"
"(-11292.57138, 146694.10811)","(-11130.22825, 146695.29086)"
"(-11292.57138, 146694.10811)","(-11262.68254, 146782.69804)"
"(-10422.05028, 144587.15941)","(-10373.22795, 144597.34741)"
"(-10422.05028, 144587.15941)","(-10815.39788, 144550.04898)"
"(-10422.05028, 144587.15941)","(-9999.62849, 144442.66667)"
"(-10422.05028, 144587.15941)","(-10689.80193, 144458.96875)"
"(-10422.05028, 144587.15941)","(-10592.44312, 144597.08697)"
"(-10591.73298, 144296.31881)","(-10339.73058, 144215.51711)"
"(-10591.73298, 144296.31881)","(-11024.58038, 144201.20341)"
"(-10591.73298, 144296.31881)","(-10859.9594, 144404.45946)"
"(-10591.73298, 144296.31881)","(-10383.51255, 144329.66068)"
"(-10591.73298, 144296.31881)","(-10854.57383, 144325.46078)"
"(-10591.73298, 144296.31881)","(-10689.80193, 144458.96875)"
"(-10612.28278, 145868.52701)","(-10463.28508, 146061.25081)"
"(-10612.28278, 145868.52701)","(-10559.87008, 145862.92891)"
"(-10612.28278, 145868.52701)","(-11345.52318, 145931.44721)"
"(-10612.28278, 145868.52701)","(-11418.6453, 145807.50002)"
"(-10612.28278, 145868.52701)","(-10508.41568, 145963.38485)"
"(-10493.51198, 146549.16931)","(-10804.38598, 146592.14491)"
"(-10493.51198, 146549.16931)","(-10425.74452, 146665.6367)"
"(-10493.51198, 146549.16931)","(-9984.20277, 146563.07825)"
"(-10493.51198, 146549.16931)","(-10585.40251, 146441.79314)"
"(-10493.51198, 146549.16931)","(-10253.47608, 146660.54684)"
"(-12089.04288, 146105.08451)","(-12150.32018, 146106.93491)"
"(-12089.04288, 146105.08451)","(-11787.61178, 146176.79402)"
"(-12089.04288, 146105.08451)","(-12186.63902, 146003.58075)"
"(-11051.24968, 146283.05717)","(-11019.35018, 146283.05711)"
"(-11051.24968, 146283.05717)","(-11070.94408, 146283.05721)"
"(-11051.24968, 146283.05717)","(-11053.83413, 146220.76902)"
"(-11051.24968, 146283.05717)","(-11535.17588, 146511.60567)"
"(-11461.86638, 145478.87951)","(-11479.27611, 145482.62956)"
"(-11461.86638, 145478.87951)","(-11324.91898, 145686.34871)"
"(-11461.86638, 145478.87951)","(-11322.38808, 145684.27591)"
"(-11461.86638, 145478.87951)","(-11387.29754, 145587.65065)"
"(-11461.86638, 145478.87951)","(-11692.20506, 145637.19507)"
"(-12150.41828, 147034.86361)","(-12162.38518, 147088.50391)"
"(-12150.41828, 147034.86361)","(-12465.81377, 147031.14202)"
"(-12150.41828, 147034.86361)","(-11832.54596, 147082.78683)"
"(-12150.41828, 147034.86361)","(-11897.64531, 147344.57458)"
"(-12080.04928, 146757.98281)","(-12020.80848, 146775.19261)"
"(-12080.04928, 146757.98281)","(-12192.16702, 146876.89671)"
"(-12080.04928, 146757.98281)","(-11535.17588, 146511.60567)"
"(-12080.04928, 146757.98281)","(-12229.4852, 146691.79924)"
"(-12080.04928, 146757.98281)","(-11832.54596, 147082.78683)"
"(-11903.73748, 146469.52171)","(-11848.46738, 146406.31591)"
"(-11903.73748, 146469.52171)","(-12085.69028, 146465.38451)"
"(-11903.73748, 146469.52171)","(-12128.28838, 146605.30541)"
"(-11903.73748, 146469.52171)","(-12030.85059, 146407.57458)"
