"Source(x,y)","Target(x,y)"
"(-11263.25238, 145350.99561)","(-11214.88648, 145304.51751)"
"(-11263.25238, 145350.99561)","(-11285.94848, 145413.02391)"
"(-11263.25238, 145350.99561)","(-10586.47098, 145430.04251)"
"(-11263.25238, 145350.99561)","(-11298.50872, 145094.28111)"
"(-11263.25238, 145350.99561)","(-10875.67833, 145439.00808)"
"(-11263.25238, 145350.99561)","(-10886.61391, 145312.75793)"
"(-11214.88648, 145304.51751)","(-11263.25238, 145350.99561)"
"(-11214.88648, 145304.51751)","(-10973.55168, 145177.73511)"
"(-11214.88648, 145304.51751)","(-10930.14798, 145204.05181)"
"(-11214.88648, 145304.51751)","(-11175.3728, 145212.9561)"
"(-11214.88648, 145304.51751)","(-11298.50872, 145094.28111)"
"(-11214.88648, 145304.51751)","(-10886.61391, 145312.75793)"
"(-11285.94848, 145413.02391)","(-11263.25238, 145350.99561)"
"(-11285.94848, 145413.02391)","(-11474.53728, 145036.98431)"
"(-11285.94848, 145413.02391)","(-10540.80828, 145570.98241)"
"(-11285.94848, 145413.02391)","(-11298.50872, 145094.28111)"
"(-11285.94848, 145413.02391)","(-10875.67833, 145439.00808)"
"(-10586.47098, 145430.04251)","(-11263.25238, 145350.99561)"
"(-10586.47098, 145430.04251)","(-10508.17068, 145469.67671)"
"(-10586.47098, 145430.04251)","(-10572.27948, 145306.64461)"
"(-10586.47098, 145430.04251)","(-10875.67833, 145439.00808)"
"(-10586.47098, 145430.04251)","(-10433.51815, 145216.22844)"
"(-10586.47098, 145430.04251)","(-10886.61391, 145312.75793)"
"(-11298.50872, 145094.28111)","(-11263.25238, 145350.99561)"
"(-11298.50872, 145094.28111)","(-11214.88648, 145304.51751)"
"(-11298.50872, 145094.28111)","(-10973.55168, 145177.73511)"
"(-11298.50872, 145094.28111)","(-11285.94848, 145413.02391)"
"(-11298.50872, 145094.28111)","(-11474.53728, 145036.98431)"
"(-11298.50872, 145094.28111)","(-11360.44038, 144863.96811)"
"(-10875.67833, 145439.00808)","(-11263.25238, 145350.99561)"
"(-10875.67833, 145439.00808)","(-10508.17068, 145469.67671)"
"(-10875.67833, 145439.00808)","(-10586.47098, 145430.04251)"
"(-10875.67833, 145439.00808)","(-11285.94848, 145413.02391)"
"(-10875.67833, 145439.00808)","(-10421.15038, 145524.38761)"
"(-10875.67833, 145439.00808)","(-10540.80828, 145570.98241)"
"(-10886.61391, 145312.75793)","(-11263.25238, 145350.99561)"
"(-10886.61391, 145312.75793)","(-11214.88648, 145304.51751)"
"(-10886.61391, 145312.75793)","(-10586.47098, 145430.04251)"
"(-10886.61391, 145312.75793)","(-10930.14798, 145204.05181)"
"(-10886.61391, 145312.75793)","(-10572.27948, 145306.64461)"
"(-10458.37578, 145856.31011)","(-10522.91078, 145861.60871)"
"(-10458.37578, 145856.31011)","(-10443.39408, 145860.44101)"
"(-10458.37578, 145856.31011)","(-11911.82328, 145716.01351)"
"(-10458.37578, 145856.31011)","(-10410.88307, 145946.54058)"
"(-10522.91078, 145861.60871)","(-10458.37578, 145856.31011)"
"(-10522.91078, 145861.60871)","(-10559.87008, 145862.92891)"
"(-10522.91078, 145861.60871)","(-10366.09948, 146045.01991)"
"(-10522.91078, 145861.60871)","(-10458.17531, 145959.85115)"
"(-10522.91078, 145861.60871)","(-10410.88307, 145946.54058)"
"(-10443.39408, 145860.44101)","(-10458.37578, 145856.31011)"
"(-10443.39408, 145860.44101)","(-10309.34908, 146023.00721)"
"(-10443.39408, 145860.44101)","(-10392.90648, 145719.00931)"
"(-10443.39408, 145860.44101)","(-10410.88307, 145946.54058)"
"(-11911.82328, 145716.01351)","(-10458.37578, 145856.31011)"
"(-11911.82328, 145716.01351)","(-12204.43494, 145535.89745)"
"(-10410.88307, 145946.54058)","(-10458.37578, 145856.31011)"
"(-10410.88307, 145946.54058)","(-10443.39408, 145860.44101)"
"(-10410.88307, 145946.54058)","(-10309.34908, 146023.00721)"
"(-10410.88307, 145946.54058)","(-10366.09948, 146045.01991)"
"(-10410.88307, 145946.54058)","(-10522.91078, 145861.60871)"
"(-10508.17068, 145469.67671)","(-10421.15038, 145524.38761)"
"(-10508.17068, 145469.67671)","(-10586.47098, 145430.04251)"
