Node,Stand
"(-11651.00938, 144579.24941)",[1203]
"(-11666.08398, 144633.48321)",[1203]
"(-11728.00428, 144655.71251)",[1203]
"(-11814.22648, 144658.01381)",[1203]
"(-11864.57358, 144649.02741)",[1203]
"(-11935.47078, 144631.96481)",[1203]
"(-12027.64138, 144585.59591)",[1203]
"(-12078.79258, 144571.43461)",[1203]
"(-12126.48468, 144569.94141)",[1203]
"(-12100.44568, 144602.05121)",[1203]
"(-12094.20078, 144609.75211)",[1203]
"(-12072.66578, 144636.30811)",[1203]
"(-11956.24888, 144737.90831)",[1203]
"(-11922.61508, 144778.89931)",[1203]
"(-11888.51538, 144820.45851)",[1203]
"(-11816.05378, 144880.62371)",[1203]
"(-11779.12288, 144924.35301)",[1203]
"(-11715.25928, 145005.74931)",[1203]
"(-11666.91138, 145067.37131)",[1203]
"(-11660.15818, 145199.22361)",[1203]
"(-11620.39498, 145237.24831)",[1203]
"(-11573.28158, 145242.74891)",[1203]
"(-11524.89808, 145188.91691)",[1203]
"(-11480.99628, 145113.97001)",[1203]
"(-11212.70111, 144513.24223)",[1203]
"(-11298.81805, 144346.94946)",[1203]
"(-11444.59644, 144568.29506)",[1203]
"(-11745.20313, 144967.58487)",[1203]
"(-9721.09488, 144536.77931)","[1497, 1212, 1213]"
"(-9648.19888, 144512.56501)","[1497, 1212]"
"(-9587.02718, 144472.21891)","[1497, 1212]"
"(-9546.67628, 144446.61521)","[1497, 1212]"
"(-9584.22898, 144422.42351)","[1497, 1212]"
"(-9532.90538, 144396.90771)","[1497, 1212]"
"(-9472.71178, 144400.30111)","[1497, 1212]"
"(-9405.67798, 144413.69331)","[1497, 1212]"
"(-9375.29238, 144376.39001)","[1497, 1212]"
"(-9437.22218, 144335.59211)","[1497, 1212]"
"(-9500.51238, 144325.26181)","[1153, 1212, 1497]"
"(-9581.73788, 144325.44341)","[1153, 1212]"
"(-9666.24828, 144348.07101)","[1153, 1212]"
"(-9713.32438, 144357.64411)","[1153, 1212]"
"(-9812.57588, 144366.83961)","[1153, 1212]"
"(-9860.65408, 144366.06551)","[1153, 1212]"
"(-9923.73868, 144358.67831)","[1153, 1212]"
"(-9990.77798, 144358.85551)","[1153, 1212]"
"(-10045.66658, 144348.90601)","[1153, 1212]"
"(-10058.69998, 144302.12911)","[1153, 1212]"
"(-10150.02108, 144256.74311)",[1212]
"(-10192.90118, 144233.84321)",[1212]
"(-10243.33028, 144214.53651)",[1212]
"(-10288.52988, 144203.68591)",[1212]
