ID_UG;nodes
1111;(-10493.51198, 146549.16931),(-9976.58998, 146666.29741),(-9932.81588, 146541.95831),(-10058.28294, 146752.22657),(-10345.99736, 146611.79932),(-10175.40622, 146646.3433),(-10425.74452, 146665.6367),(-10253.47608, 146660.54684)
1495;(-11461.86638, 145478.87951),(-11322.38808, 145684.27591),(-11324.91898, 145686.34871),(-11387.29754, 145587.65065)
1520;(-11903.73748, 146469.52171),(-12085.69028, 146465.38451),(-12175.26418, 146323.63221),(-11848.46738, 146406.31591),(-12030.85059, 146407.57458)
1519;(-11903.73748, 146469.52171),(-12085.69028, 146465.38451),(-12128.28838, 146605.30541),(-12020.85555, 146530.62782)
1142;(-11657.61788, 144440.58811),(-12349.72418, 144439.11641),(-12126.48468, 144569.94141),(-12315.38198, 144468.37391),(-12377.49558, 143982.26871),(-12124.7887, 144347.00114)
1518;(-12175.26418, 146323.63221),(-11781.45528, 146357.98461),(-11848.46738, 146406.31591),(-12168.82397, 146250.13035),(-12176.52211, 146295.99382),(-11993.23024, 146315.8348)
1256;(-11647.46748, 147490.42951),(-11631.18218, 147630.20151),(-11514.13248, 147464.64091),(-11364.13313, 147519.988)
1515;(-11193.97548, 146304.22381),(-11147.67338, 146279.08841),(-11199.2228, 146286.69589),(-11228.32011, 146134.99003)
1100;(-12460.81378, 146096.66401),(-12470.54088, 146156.54001),(-12618.47018, 145830.80591),(-12487.36392, 146087.27366),(-12467.49998, 145981.35076),(-12536.33127, 145876.48658),(-12492.603, 146154.41865),(-12954.9812, 145893.10886),(-12732.65338, 146038.01083),(-12650.0027, 145987.77659)
1140;(-12349.72418, 144439.11641),(-12126.48468, 144569.94141),(-12315.38198, 144468.37391),(-12500.85375, 144671.15687)
1623;(-10627.12218, 146132.03631),(-10600.05419, 146118.42648),(-10638.39162, 146125.22657),(-10665.80354, 146087.73902)
1154;(-9573.00478, 144160.25261),(-9254.73888, 144343.29081),(-9046.54407, 143900.67767),(-9286.42043, 144313.40255),(-9211.56648, 144088.13213)
