Node,Stand
"(-14784.86778, 149661.67781)",[1008]
"(-14750.54618, 149658.12111)","[1008, 1243]"
"(-14748.54698, 149657.91391)","[1008, 1243]"
"(-14768.71498, 149627.34801)","[1008, 1243]"
"(-14800.46498, 149598.77291)","[1008, 1243]"
"(-14819.51508, 149551.14791)","[1008, 1243]"
"(-14829.07198, 149504.09841)","[1008, 1243]"
"(-15325.05848, 149260.63641)",[1008]
"(-15339.07428, 149323.25151)",[1008]
"(-15342.36318, 149378.40191)","[1008, 1236]"
"(-15279.23408, 149386.44861)","[1008, 1236]"
"(-15195.64978, 149380.59421)","[1008, 1236]"
"(-15195.56138, 149380.69761)","[1008, 1236]"
"(-15195.44898, 149380.68971)","[1008, 1236]"
"(-15163.10248, 149418.52021)","[1008, 1236]"
"(-15114.61658, 149434.87321)","[1008, 1236]"
"(-15114.56928, 149434.91701)","[1008, 1236]"
"(-15114.41568, 149434.96881)","[1008, 1236]"
"(-15045.95918, 149498.42951)","[1008, 1236]"
"(-15038.16228, 149507.48401)","[1008, 1236]"
"(-15034.83598, 149511.34681)","[1008, 1236, 1340]"
"(-15012.40988, 149495.51921)","[1008, 1340]"
"(-14998.65158, 149493.93161)","[1008, 1340]"
"(-14992.30148, 149511.39421)","[1008, 1340]"
"(-14969.01808, 149526.74001)","[1008, 1340]"
"(-14960.02228, 149535.73591)","[1008, 1340]"
"(-14957.90568, 149585.47771)","[1008, 1340]"
"(-14974.30988, 149583.89021)","[1008, 1340]"
"(-14974.30978, 149609.81941)","[1008, 1340]"
"(-14943.61808, 149625.16521)","[1008, 1340]"
"(-14936.73888, 149636.80691)","[1008, 1340]"
"(-14939.91388, 149670.67371)","[1008, 1340]"
"(-14975.89738, 149660.61951)","[1008, 1340]"
"(-14990.18488, 149675.43611)","[1008, 1340]"
"(-14965.31398, 149697.13201)","[1008, 1340]"
"(-14951.55558, 149723.59051)","[1008, 1340]"
"(-14942.03058, 149772.80301)",[1008]
"(-14940.44308, 149831.54061)",[1008]
"(-14902.34308, 149850.59071)",[1008]
"(-14805.50538, 149839.47811)",[1008]
"(-15282.54594, 149386.02646)",[1008]
"(-15239.2155, 149383.64563)",[1008]
"(-14849.34118, 149844.50848)",[1008]
