0.0 * C_node5node298_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node298_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node298_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node299_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node299_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node299_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node299_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node299_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node299_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node299_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node299_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node299_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node299_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node299_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node299_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
653.0 * C_node6node7_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
549.81 * C_node6node7_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
389.77 * C_node6node7_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
276.31 * C_node6node7_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
