variable,coefficient,type,prefix,width,edge,period
C_node8node333_timber_t4,0.0,B,C,timber,,4
C_node8node333_timber_t5,0.0,B,C,timber,,5
C_node8node333_wide_t0,0.0,B,C,wide,,0
C_node8node333_wide_t1,0.0,B,C,wide,,1
C_node8node333_wide_t2,0.0,B,C,wide,,2
C_node8node333_wide_t3,0.0,B,C,wide,,3
C_node8node333_wide_t4,0.0,B,C,wide,,4
C_node8node333_wide_t5,0.0,B,C,wide,,5
C_node9node55_timber_t0,1644.0,B,C,timber,,0
C_node9node55_timber_t1,1384.2,B,C,timber,,1
C_node9node55_timber_t2,981.29,B,C,timber,,2
C_node9node55_timber_t3,695.65,B,C,timber,,3
C_node9node55_timber_t4,493.16,B,C,timber,,4
C_node9node55_timber_t5,349.61,B,C,timber,,5
C_node9node55_wide_t0,2465.0,B,C,wide,,0
C_node9node55_wide_t1,2075.46,B,C,wide,,1
C_node9node55_wide_t2,1471.34,B,C,wide,,2
C_node9node55_wide_t3,1043.06,B,C,wide,,3
C_node9node55_wide_t4,739.44,B,C,wide,,4
C_node9node55_wide_t5,524.21,B,C,wide,,5
C_node9node332_timber_t0,0.0,B,C,timber,,0
C_node9node332_timber_t1,0.0,B,C,timber,,1
C_node9node332_timber_t2,0.0,B,C,timber,,2
C_node9node332_timber_t3,0.0,B,C,timber,,3
C_node9node332_timber_t4,0.0,B,C,timber,,4
C_node9node332_timber_t5,0.0,B,C,timber,,5
C_node9node332_wide_t0,0.0,B,C,wide,,0
C_node9node332_wide_t1,0.0,B,C,wide,,1
C_node9node332_wide_t2,0.0,B,C,wide,,2
C_node9node332_wide_t3,0.0,B,C,wide,,3
C_node9node332_wide_t4,0.0,B,C,wide,,4
C_node9node332_wide_t5,0.0,B,C,wide,,5
C_node9node333_timber_t0,0.0,B,C,timber,,0
C_node9node333_timber_t1,0.0,B,C,timber,,1
C_node9node333_timber_t2,0.0,B,C,timber,,2
C_node9node333_timber_t3,0.0,B,C,timber,,3
C_node9node333_timber_t4,0.0,B,C,timber,,4
C_node9node333_timber_t5,0.0,B,C,timber,,5
C_node9node333_wide_t0,0.0,B,C,wide,,0
C_node9node333_wide_t1,0.0,B,C,wide,,1
C_node9node333_wide_t2,0.0,B,C,wide,,2
C_node9node333_wide_t3,0.0,B,C,wide,,3
C_node9node333_wide_t4,0.0,B,C,wide,,4
C_node9node333_wide_t5,0.0,B,C,wide,,5
C_node10node213_timber_t0,1611.0,B,C,timber,,0
C_node10node213_timber_t1,1356.42,B,C,timber,,1
C_node10node213_timber_t2,961.59,B,C,timber,,2
C_node10node213_timber_t3,681.69,B,C,timber,,3
C_node10node213_timber_t4,483.26,B,C,timber,,4
C_node10node213_timber_t5,342.59,B,C,timber,,5
C_node10node213_wide_t0,2418.0,B,C,wide,,0
C_node10node213_wide_t1,2035.89,B,C,wide,,1
C_node10node213_wide_t2,1443.28,B,C,wide,,2
C_node10node213_wide_t3,1023.17,B,C,wide,,3
C_node10node213_wide_t4,725.34,B,C,wide,,4
C_node10node213_wide_t5,514.21,B,C,wide,,5
C_node10node31_timber_t0,512.0,B,C,timber,,0
C_node10node31_timber_t1,431.09,B,C,timber,,1
C_node10node31_timber_t2,305.61,B,C,timber,,2
C_node10node31_timber_t3,216.65,B,C,timber,,3
C_node10node31_timber_t4,153.59,B,C,timber,,4
C_node10node31_timber_t5,108.88,B,C,timber,,5
C_node10node31_wide_t0,769.0,B,C,wide,,0
C_node10node31_wide_t1,647.48,B,C,wide,,1
C_node10node31_wide_t2,459.01,B,C,wide,,2
C_node10node31_wide_t3,325.4,B,C,wide,,3
C_node10node31_wide_t4,230.68,B,C,wide,,4
C_node10node31_wide_t5,163.53,B,C,wide,,5
C_node10node102_timber_t0,1085.0,B,C,timber,,0
C_node10node102_timber_t1,913.54,B,C,timber,,1
C_node10node102_timber_t2,647.63,B,C,timber,,2
C_node10node102_timber_t3,459.11,B,C,timber,,3
C_node10node102_timber_t4,325.47,B,C,timber,,4
C_node10node102_timber_t5,230.74,B,C,timber,,5
C_node10node102_wide_t0,1626.0,B,C,wide,,0
