Node,Stand
"(-16062.24418, 152678.11491)","[1171, 820]"
"(-15977.78858, 152561.57151)",[1171]
"(-16064.43978, 152500.71721)",[1171]
"(-16146.46078, 152453.09211)",[1171]
"(-16573.40008, 152545.75781)",[1171]
"(-16096.70541, 152682.36683)",[1171]
"(-16156.88668, 152715.24901)","[1299, 820]"
"(-16198.39918, 152751.33691)","[1299, 820]"
"(-16224.79708, 152800.02881)","[1299, 820]"
"(-16152.51168, 152846.50161)",[820]
"(-16105.79178, 152890.24411)",[820]
"(-16038.15528, 152952.45721)","[1172, 820]"
"(-15962.45428, 152901.02191)","[1172, 820]"
"(-15998.96698, 152888.80041)","[1172, 820]"
"(-15978.00108, 152838.16061)","[1172, 820]"
"(-15893.01978, 152846.58821)","[1172, 820]"
"(-15882.81888, 152795.95711)","[1172, 820]"
"(-16120.49752, 152876.47555)",[820]
"(-16217.04328, 152959.46041)",[1299]
"(-16274.35168, 152899.02571)",[1299]
"(-16312.19468, 152856.37981)",[1299]
"(-16312.00178, 152856.09051)",[1299]
"(-16312.04908, 152856.03731)",[1299]
"(-16285.55498, 152816.30181)",[1299]
"(-16499.57648, 152883.08921)",[1299]
"(-16475.80618, 152943.91341)",[1299]
"(-16365.43618, 152953.94871)",[1299]
"(-16320.94988, 152993.81381)",[1299]
"(-16271.15978, 152986.43181)",[1299]
"(-16714.77088, 153771.90811)",[1172]
"(-16698.79488, 153714.86821)",[1172]
"(-16698.70418, 153714.72171)",[1172]
"(-16698.64928, 153714.52571)",[1172]
"(-16662.29188, 153655.87191)",[1172]
"(-16594.18088, 153617.54801)",[1172]
"(-16578.15418, 153581.25921)",[1172]
"(-16543.22908, 153538.39661)",[1172]
"(-16481.31648, 153487.59651)",[1172]
"(-16420.35638, 153456.20211)",[1172]
"(-16362.51978, 153430.49771)",[1172]
"(-16304.48518, 153386.81631)",[1172]
"(-16269.64538, 153336.17751)",[1172]
"(-16210.45508, 153291.82201)",[1172]
"(-16162.78758, 153262.05601)",[1172]
"(-16078.97798, 153243.63811)",[1172]
"(-15993.04808, 153216.53491)",[1172]
"(-15887.61688, 153198.56591)",[1172]
"(-15794.04538, 153172.80841)",[1172]
"(-15740.32288, 153183.50631)",[1172]
"(-15704.64978, 153261.19951)",[1172]
"(-15659.80868, 153216.96681)",[1172]
"(-15573.73008, 153214.63941)",[1172]
"(-15549.70788, 153136.50711)",[1172]
"(-15597.79108, 153067.24811)",[1172]
"(-15636.45578, 153012.69991)",[1172]
"(-15685.82288, 153004.07111)",[1172]
"(-15744.82708, 153004.43391)",[1172]
"(-15806.53488, 153025.66401)",[1172]
"(-15827.09078, 153065.57121)",[1172]
"(-15907.22118, 153080.92671)",[1172]
"(-15944.68058, 153121.24641)",[1172]
"(-15985.68418, 153151.53661)",[1172]
"(-16030.10968, 153189.08001)",[1172]
"(-16081.22318, 153196.12951)",[1172]
"(-16032.50358, 153143.57541)",[1172]
"(-15991.63288, 153079.89971)",[1172]
"(-15961.72578, 153039.37851)",[1172]
"(-15924.91718, 152973.25471)",[1172]
"(-15872.12348, 152902.28141)",[1172]
"(-15829.06918, 152866.38171)",[1172]
"(-15787.98708, 152839.81661)",[1172]
"(-16096.15388, 153016.80071)",[1172]
"(-16222.83258, 153060.10401)",[1172]
"(-16238.63978, 153061.30831)",[1172]
"(-16267.14918, 153085.98321)",[1172]
"(-16335.41178, 153093.92071)",[1172]
"(-16390.97438, 153084.39571)",[1172]
"(-16427.92148, 153062.32391)",[1172]
"(-16438.59948, 153046.29561)",[1172]
"(-16462.41208, 153060.58311)",[1172]
"(-16482.90398, 153088.95661)",[1172]
"(-16482.90398, 153114.21581)",[1172]
"(-16455.91638, 153149.14081)",[1172]
"(-16414.59878, 153164.84181)",[1172]
"(-16400.03378, 153191.44571)",[1172]
"(-16400.18658, 153191.77501)",[1172]
