"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-17335.13778, 152586.82601)","(-17318.76859, 152467.39973)",0.0,False,True,0,0,0,0,0,False,
"(-17335.13778, 152586.82601)","(-17475.20718, 152508.32621)",0.0,False,True,0,0,0,0,0,False,
"(-16462.62528, 152381.74381)","(-16415.44108, 152572.55802)",0.41842907625922976,True,False,3145,1122,4715,1122,2358,False,"[(-16392.39018, 152396.01721), (-16323.33378, 152384.90461), (-16278.08988, 152433.32351)]"
"(-16462.62528, 152381.74381)","(-16335.19862, 152327.4503)",0.0,False,True,0,0,0,0,0,False,
"(-16462.62528, 152381.74381)","(-16585.7973, 152284.62888)",0.0,False,True,0,0,0,0,0,False,
"(-16935.25928, 152275.25061)","(-16620.54728, 152242.35931)",0.3183032350938452,True,False,2391,853,3587,853,1793,False,"[(-16804.79028, 152259.96671), (-16741.00858, 152257.04111)]"
"(-16935.25928, 152275.25061)","(-16632.77399, 152143.35618)",0.0,False,True,0,0,0,0,0,False,
"(-16935.25928, 152275.25061)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-16935.25928, 152275.25061)","(-16585.7973, 152284.62888)",0.0,False,True,0,0,0,0,0,False,
"(-15731.30798, 152800.08831)","(-15287.95248, 152408.44331)",1.2323739152403244,True,False,5951,2316,8933,2316,4464,False,"[(-15489.17258, 152560.90221), (-15448.15218, 152568.04731), (-15429.63128, 152562.09431), (-15451.44458, 152622.68631)]"
"(-15731.30798, 152800.08831)","(-15897.00938, 152935.73682)",0.21589270973180055,True,False,1042,405,1565,405,782,False,"[(-15872.12348, 152902.28141), (-15829.06918, 152866.38171)]"
"(-15731.30798, 152800.08831)","(-15869.34628, 152722.89841)",0.16304604249319563,False,False,787,306,1181,306,592,False,"[(-15783.85088, 152758.17841)]"
"(-15731.30798, 152800.08831)","(-15585.5948, 152594.62126)",0.0,False,True,0,0,0,0,0,False,
"(-15731.30798, 152800.08831)","(-16221.23741, 153236.87723)",0.0,False,True,0,0,0,0,0,False,
"(-16750.26188, 152458.55281)","(-16761.84323, 152452.60718)",0.013018378697803827,True,False,98,35,147,35,73,27.5275,
"(-16750.26188, 152458.55281)","(-16660.03048, 152548.65151)",0.14191871681537296,False,False,1066,381,1600,381,800,False,"[(-16697.21868, 152469.06841)]"
"(-16750.26188, 152458.55281)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-16750.26188, 152458.55281)","(-17046.67685, 152566.31793)",0.0,False,True,0,0,0,0,0,False,
"(-16660.03048, 152548.65151)","(-17046.67685, 152566.31793)",0.0,False,True,0,0,0,0,0,False,
"(-16660.03048, 152548.65151)","(-16575.29986, 152696.02145)",0.0,False,True,0,0,0,0,0,False,
"(-16114.27338, 152684.53441)","(-16096.70541, 152682.36683)",0.017701185637612315,True,False,86,33,128,33,64,23.1901,
"(-16114.27338, 152684.53441)","(-16575.29986, 152696.02145)",0.0,False,True,0,0,0,0,0,False,
"(-16114.27338, 152684.53441)","(-16045.07031, 152794.84578)",0.0,False,True,0,0,0,0,0,False,
"(-16114.27338, 152684.53441)","(-16339.0747, 152839.66536)",0.0,False,True,0,0,0,0,0,False,
"(-17287.64548, 152561.15991)","(-17412.91948, 152414.78841)",0.5764923305141167,False,False,4331,1547,6499,1547,3250,False,"[(-17192.41988, 152476.40831), (-17212.26368, 152500.22081), (-17243.21998, 152524.03341), (-17156.70108, 152454.97701), (-17225.47828, 152397.34051), (-17324.31828, 152415.05651)]"
"(-17287.64548, 152561.15991)","(-17318.76859, 152467.39973)",0.0,False,True,0,0,0,0,0,False,
"(-17287.64548, 152561.15991)","(-17046.67685, 152566.31793)",0.0,False,True,0,0,0,0,0,False,
"(-15869.34628, 152722.89841)","(-16010.10678, 152678.39471)",0.171915268448168,False,False,830,323,1246,323,622,False,"[(-15914.13948, 152722.88531)]"
"(-15869.34628, 152722.89841)","(-15585.5948, 152594.62126)",0.0,False,True,0,0,0,0,0,False,
"(-15869.34628, 152722.89841)","(-16045.07031, 152794.84578)",0.0,False,True,0,0,0,0,0,False,
"(-15869.34628, 152722.89841)","(-16221.23741, 153236.87723)",0.0,False,True,0,0,0,0,0,False,
"(-17073.27228, 152007.69721)","(-17019.68194, 152006.34884)",0.05360730027685638,True,False,403,143,604,143,302,False,"[(-17030.26098, 152006.61501)]"
"(-17073.27228, 152007.69721)","(-16852.23272, 151877.41965)",0.0,False,True,0,0,0,0,0,False,
"(-17073.27228, 152007.69721)","(-16806.09839, 152028.12952)",0.0,False,True,0,0,0,0,0,False,
"(-15287.95248, 152408.44331)","(-15409.51008, 152244.57003)",0.21075279017907578,True,False,1018,395,1527,395,763,False,"[(-15321.33348, 152354.82931), (-15306.42228, 152369.50611), (-15346.41258, 152330.14461)]"
"(-15287.95248, 152408.44331)","(-15585.5948, 152594.62126)",0.0,False,True,0,0,0,0,0,False,
"(-16010.10678, 152678.39471)","(-16096.70541, 152682.36683)",0.08686069672391615,True,False,420,163,630,163,315,False,"[(-16062.24418, 152678.11491)]"
"(-16010.10678, 152678.39471)","(-15585.5948, 152594.62126)",0.0,False,True,0,0,0,0,0,False,
"(-16010.10678, 152678.39471)","(-16575.29986, 152696.02145)",0.0,False,True,0,0,0,0,0,False,
"(-16010.10678, 152678.39471)","(-16045.07031, 152794.84578)",0.0,False,True,0,0,0,0,0,False,
"(-16620.54728, 152242.35931)","(-16632.77399, 152143.35618)",0.0,False,True,0,0,0,0,0,False,
"(-16620.54728, 152242.35931)","(-16585.7973, 152284.62888)",0.0,False,True,0,0,0,0,0,False,
"(-15907.22118, 153080.92671)","(-15840.58755, 153068.15761)",0.0678460799294039,True,False,328,127,492,127,246,24.7646,
"(-15907.22118, 153080.92671)","(-15955.22813, 153027.70598)",0.4268239808371994,True,False,2062,802,3092,802,1546,False,"[(-15944.68058, 153121.24641), (-15985.68418, 153151.53661)]"
"(-15907.22118, 153080.92671)","(-16221.23741, 153236.87723)",0.0,False,True,0,0,0,0,0,False,
"(-17412.91948, 152414.78841)","(-17124.67922, 152350.38854)",0.30386068042584297,True,False,2284,815,3425,815,1713,False,"[(-17309.10138, 152356.94871), (-17227.50378, 152352.49351)]"
