variable,coefficient,type,prefix,width,edge,period
C_node7node71_timber_t1,496.76,B,C,timber,,1
C_node7node71_timber_t2,352.17,B,C,timber,,2
C_node7node71_timber_t3,249.66,B,C,timber,,3
C_node7node71_timber_t4,176.99,B,C,timber,,4
C_node7node71_timber_t5,125.47,B,C,timber,,5
C_node7node71_wide_t0,885.0,B,C,wide,,0
C_node7node71_wide_t1,745.15,B,C,wide,,1
C_node7node71_wide_t2,528.25,B,C,wide,,2
C_node7node71_wide_t3,374.49,B,C,wide,,3
C_node7node71_wide_t4,265.48,B,C,wide,,4
C_node7node71_wide_t5,188.2,B,C,wide,,5
C_node7node118_timber_t0,5208.0,B,C,timber,,0
C_node7node118_timber_t1,4385.0,B,C,timber,,1
C_node7node118_timber_t2,3108.61,B,C,timber,,2
C_node7node118_timber_t3,2203.75,B,C,timber,,3
C_node7node118_timber_t4,1562.28,B,C,timber,,4
C_node7node118_timber_t5,1107.53,B,C,timber,,5
C_node7node118_wide_t0,7812.0,B,C,wide,,0
C_node7node118_wide_t1,6577.49,B,C,wide,,1
C_node7node118_wide_t2,4662.91,B,C,wide,,2
C_node7node118_wide_t3,3305.62,B,C,wide,,3
C_node7node118_wide_t4,2343.42,B,C,wide,,4
C_node7node118_wide_t5,1661.29,B,C,wide,,5
C_node7node244_timber_t0,0.0,B,C,timber,,0
C_node7node244_timber_t1,0.0,B,C,timber,,1
C_node7node244_timber_t2,0.0,B,C,timber,,2
C_node7node244_timber_t3,0.0,B,C,timber,,3
C_node7node244_timber_t4,0.0,B,C,timber,,4
C_node7node244_timber_t5,0.0,B,C,timber,,5
C_node7node244_wide_t0,0.0,B,C,wide,,0
C_node7node244_wide_t1,0.0,B,C,wide,,1
C_node7node244_wide_t2,0.0,B,C,wide,,2
C_node7node244_wide_t3,0.0,B,C,wide,,3
C_node7node244_wide_t4,0.0,B,C,wide,,4
C_node7node244_wide_t5,0.0,B,C,wide,,5
C_node7node245_timber_t0,0.0,B,C,timber,,0
C_node7node245_timber_t1,0.0,B,C,timber,,1
C_node7node245_timber_t2,0.0,B,C,timber,,2
C_node7node245_timber_t3,0.0,B,C,timber,,3
C_node7node245_timber_t4,0.0,B,C,timber,,4
C_node7node245_timber_t5,0.0,B,C,timber,,5
C_node7node245_wide_t0,0.0,B,C,wide,,0
C_node7node245_wide_t1,0.0,B,C,wide,,1
C_node7node245_wide_t2,0.0,B,C,wide,,2
C_node7node245_wide_t3,0.0,B,C,wide,,3
C_node7node245_wide_t4,0.0,B,C,wide,,4
C_node7node245_wide_t5,0.0,B,C,wide,,5
C_node7node246_timber_t0,0.0,B,C,timber,,0
C_node7node246_timber_t1,0.0,B,C,timber,,1
C_node7node246_timber_t2,0.0,B,C,timber,,2
C_node7node246_timber_t3,0.0,B,C,timber,,3
C_node7node246_timber_t4,0.0,B,C,timber,,4
C_node7node246_timber_t5,0.0,B,C,timber,,5
C_node7node246_wide_t0,0.0,B,C,wide,,0
C_node7node246_wide_t1,0.0,B,C,wide,,1
C_node7node246_wide_t2,0.0,B,C,wide,,2
C_node7node246_wide_t3,0.0,B,C,wide,,3
C_node7node246_wide_t4,0.0,B,C,wide,,4
C_node7node246_wide_t5,0.0,B,C,wide,,5
C_node8node150_timber_t0,227.0,B,C,timber,,0
C_node8node150_timber_t1,191.13,B,C,timber,,1
C_node8node150_timber_t2,135.49,B,C,timber,,2
C_node8node150_timber_t3,96.05,B,C,timber,,3
C_node8node150_timber_t4,68.09,B,C,timber,,4
C_node8node150_timber_t5,48.27,B,C,timber,,5
C_node8node150_wide_t0,341.0,B,C,wide,,0
C_node8node150_wide_t1,287.11,B,C,wide,,1
C_node8node150_wide_t2,203.54,B,C,wide,,2
C_node8node150_wide_t3,144.29,B,C,wide,,3
C_node8node150_wide_t4,102.29,B,C,wide,,4
