0.0 * C_node5node485_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node485_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node485_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node485_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node485_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node485_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node485_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node485_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node487_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node487_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node487_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node487_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node487_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node487_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node487_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node487_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node487_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node487_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node487_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node487_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
100.0 * C_node6node390_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
84.2 * C_node6node390_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
59.69 * C_node6node390_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
42.31 * C_node6node390_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
30.0 * C_node6node390_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
21.27 * C_node6node390_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
151.0 * C_node6node390_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
127.14 * C_node6node390_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
90.13 * C_node6node390_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
63.9 * C_node6node390_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
45.3 * C_node6node390_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
32.11 * C_node6node390_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
852.0 * C_node6node196_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
717.36 * C_node6node196_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
508.55 * C_node6node196_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
360.52 * C_node6node196_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
255.58 * C_node6node196_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
181.19 * C_node6node196_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1277.0 * C_node6node196_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1075.2 * C_node6node196_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
762.23 * C_node6node196_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
540.36 * C_node6node196_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
383.07 * C_node6node196_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
271.57 * C_node6node196_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node6node518_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node6node518_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node6node518_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node6node518_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node6node518_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
