0.0 * C_node3node123_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node123_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node123_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node123_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node123_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node123_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
591.0 * C_node4node91_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
497.61 * C_node4node91_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
352.76 * C_node4node91_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
250.08 * C_node4node91_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
177.29 * C_node4node91_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
125.68 * C_node4node91_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
886.0 * C_node4node91_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
745.99 * C_node4node91_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
528.85 * C_node4node91_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
374.91 * C_node4node91_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
265.78 * C_node4node91_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
188.42 * C_node4node91_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
968.0 * C_node4node88_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
815.03 * C_node4node88_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
577.79 * C_node4node88_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
409.61 * C_node4node88_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
290.38 * C_node4node88_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
205.85 * C_node4node88_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1451.0 * C_node4node88_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1221.7 * C_node4node88_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
866.09 * C_node4node88_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
613.99 * C_node4node88_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
435.27 * C_node4node88_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
308.57 * C_node4node88_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4415.0 * C_node4node81_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3717.31 * C_node4node81_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2635.27 * C_node4node81_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1868.19 * C_node4node81_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1324.4 * C_node4node81_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
938.89 * C_node4node81_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6625.0 * C_node4node81_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5578.07 * C_node4node81_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3954.4 * C_node4node81_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2803.35 * C_node4node81_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1987.35 * C_node4node81_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1408.87 * C_node4node81_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node133_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node133_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node133_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node133_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node133_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node133_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node133_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node133_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node133_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node133_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node133_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node133_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node137_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node137_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node137_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node137_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node137_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node137_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node137_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node137_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node137_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node137_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node137_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node137_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
228.0 * C_node5node20_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
191.97 * C_node5node20_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
136.09 * C_node5node20_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
96.48 * C_node5node20_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
68.39 * C_node5node20_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
48.49 * C_node5node20_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
341.0 * C_node5node20_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
287.11 * C_node5node20_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
203.54 * C_node5node20_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
144.29 * C_node5node20_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
102.29 * C_node5node20_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
72.52 * C_node5node20_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
340.0 * C_node5node35_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
286.27 * C_node5node35_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
202.94 * C_node5node35_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
143.87 * C_node5node35_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
101.99 * C_node5node35_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
72.3 * C_node5node35_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
509.0 * C_node5node35_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
428.56 * C_node5node35_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
303.82 * C_node5node35_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
215.38 * C_node5node35_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
152.69 * C_node5node35_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
108.24 * C_node5node35_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1165.0 * C_node5node39_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
980.9 * C_node5node39_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
695.38 * C_node5node39_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
492.97 * C_node5node39_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
349.47 * C_node5node39_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
247.75 * C_node5node39_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1747.0 * C_node5node39_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1470.93 * C_node5node39_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1042.77 * C_node5node39_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
739.24 * C_node5node39_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
524.06 * C_node5node39_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
