ID_UG;nodes
911;(-20819.96328, 151000.32721),(-21080.51908, 150748.71441),(-20815.01898, 150668.19941),(-21099.67728, 150751.89261),(-21095.01245, 150886.10202),(-21100.58094, 150880.32853)
985;(-19456.44598, 148951.98991),(-19772.75208, 148891.60841),(-19577.65728, 148694.21851),(-19390.29028, 148885.89851),(-20147.71748, 148589.73481),(-20136.2515, 148608.78913),(-19787.30269, 148865.18062)
1170;(-18543.95458, 147716.42381),(-17955.62698, 147990.25791),(-18134.15908, 147991.56901),(-18604.90518, 147891.34761),(-18575.62358, 147895.17401),(-17764.08932, 147938.44866),(-18248.39621, 147640.02194)
1572;(-18543.95458, 147716.42381),(-18967.03998, 148179.37271),(-18604.90518, 147891.34761),(-19059.64428, 148210.98651),(-19040.46188, 148237.44491),(-18966.52545, 146695.62804),(-19007.43458, 146703.71606)
1580;(-19406.61876, 151791.40352),(-19511.73078, 151897.44221),(-19414.86798, 151784.42971),(-19530.76158, 151889.97011),(-19478.45355, 151832.00642)
840;(-20497.87888, 152432.63621),(-20621.73578, 152310.44621),(-20161.53318, 152306.82261),(-20301.57768, 152137.70531),(-20379.17318, 152148.13031),(-20384.30125, 152292.70993)
844;(-20561.34198, 152005.92651),(-20373.38968, 151969.16841),(-20120.91688, 151657.29481),(-20363.54039, 151832.77585)
859;(-19496.24038, 150221.53691),(-18983.95308, 150287.92741),(-19325.76598, 150192.97221),(-19050.06598, 150206.4676)
1319;(-18443.62178, 149240.82801),(-18496.00608, 149275.44471),(-18305.95808, 149190.03721),(-18066.12888, 149385.62261),(-18495.04568, 149512.94291),(-18149.18868, 149127.79851),(-18296.8675, 149342.90115)
913;(-19963.83018, 150618.08921),(-19791.86918, 150576.07971),(-20052.51488, 150708.39651),(-20046.19378, 150276.43261),(-20094.66538, 150492.12191),(-19991.69528, 150462.0952)
1565;(-19963.83018, 150618.08921),(-19558.77228, 150381.97331),(-19791.86918, 150576.07971),(-19594.76518, 150380.08471),(-19923.83008, 150612.01551),(-19636.16808, 150436.07961),(-19854.66238, 150585.87891),(-19743.42606, 150532.31805)
