"Source(x,y)","Target(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-19207.26706, 150925.01944)","(-19376.89108, 150760.39251)",True,False,False,0.26478662895754,1990,710,2985,710,1493,"[(-19223.00218, 150917.27131)]"
"(-19207.26706, 150925.01944)","(-18914.40984, 150773.38904)",True,False,False,0.43268483324748486,3251,1159,4876,1159,2440,"[(-19085.08308, 150830.39981), (-18994.06628, 150773.24971)]"
"(-19207.26706, 150925.01944)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
"(-18744.19068, 150939.43291)","(-18824.69198, 150844.66351)",False,False,False,0.17530955751088956,1317,471,1975,471,988,"[(-18796.95728, 150932.21341), (-18850.77188, 150884.68041)]"
"(-18744.19068, 150939.43291)","(-18736.86298, 151025.51891)",False,False,False,0.08651103714712279,650,233,976,233,487,"[(-18744.42488, 150956.45901)]"
"(-18744.19068, 150939.43291)","(-18690.70598, 150788.11461)",False,False,False,0.5202253712324822,3909,1396,5863,1396,2932,"[(-18726.07758, 150941.91111), (-18645.75158, 150917.63781), (-18595.66068, 150899.29761), (-18507.56428, 150900.15641), (-18481.08548, 150873.44931), (-18525.71558, 150840.38411)]"
"(-18744.19068, 150939.43291)","(-18692.52201, 150867.19679)",False,True,False,0.0,0,0,0,0,0,
"(-18744.19068, 150939.43291)","(-18558.69336, 150891.51983)",False,True,False,0.0,0,0,0,0,0,
"(-18824.69198, 150844.66351)","(-18744.19068, 150939.43291)",False,False,False,0.17530955751088956,1317,471,1975,471,988,"[(-18796.95728, 150932.21341), (-18850.77188, 150884.68041)]"
"(-18824.69198, 150844.66351)","(-18690.70598, 150788.11461)",False,False,False,0.1612675740209548,1212,432,1818,432,909,"[(-18764.75348, 150781.68571)]"
"(-18824.69198, 150844.66351)","(-18839.92852, 150737.52197)",True,False,False,0.11483796622885736,863,308,1294,308,648,"[(-18850.44458, 150799.36581)]"
"(-18824.69198, 150844.66351)","(-18503.4154, 150718.05193)",False,True,False,0.0,0,0,0,0,0,
"(-18824.69198, 150844.66351)","(-18692.52201, 150867.19679)",False,True,False,0.0,0,0,0,0,0,
"(-18690.70598, 150788.11461)","(-18744.19068, 150939.43291)",False,False,False,0.5202253712324822,3909,1396,5863,1396,2932,"[(-18726.07758, 150941.91111), (-18645.75158, 150917.63781), (-18595.66068, 150899.29761), (-18507.56428, 150900.15641), (-18481.08548, 150873.44931), (-18525.71558, 150840.38411)]"
"(-18690.70598, 150788.11461)","(-18408.96258, 150876.72471)",False,False,False,0.4057821952858459,3049,1089,4574,1089,2287,"[(-18401.29098, 150862.74441), (-18395.90398, 150852.92741), (-18380.70378, 150812.97831)]"
"(-18690.70598, 150788.11461)","(-18824.69198, 150844.66351)",False,False,False,0.1612675740209548,1212,432,1818,432,909,"[(-18764.75348, 150781.68571)]"
"(-18690.70598, 150788.11461)","(-18503.4154, 150718.05193)",False,True,False,0.0,0,0,0,0,0,
"(-18690.70598, 150788.11461)","(-18692.52201, 150867.19679)",False,True,False,0.0,0,0,0,0,0,
"(-18690.70598, 150788.11461)","(-18558.69336, 150891.51983)",False,True,False,0.0,0,0,0,0,0,
"(-18692.52201, 150867.19679)","(-18744.19068, 150939.43291)",False,True,False,0.0,0,0,0,0,0,
"(-18692.52201, 150867.19679)","(-18824.69198, 150844.66351)",False,True,False,0.0,0,0,0,0,0,
"(-18692.52201, 150867.19679)","(-18690.70598, 150788.11461)",False,True,False,0.0,0,0,0,0,0,
"(-18630.00538, 150654.28451)","(-18641.97749, 150654.53089)",True,False,33.3998,0.011974644919852806,90,32,135,32,67,
"(-18630.00538, 150654.28451)","(-18549.02809, 150615.1303)",True,False,False,0.09139291766597087,687,245,1031,245,515,"[(-18571.10648, 150634.16971)]"
"(-18630.00538, 150654.28451)","(-18503.4154, 150718.05193)",False,True,False,0.0,0,0,0,0,0,
"(-18641.97749, 150654.53089)","(-18630.00538, 150654.28451)",True,False,33.3998,0.011974644919852806,90,32,135,32,67,
"(-18641.97749, 150654.53089)","(-18676.69798, 150655.24541)",True,False,33.3998,0.03472784134769237,261,93,391,93,196,
"(-18641.97749, 150654.53089)","(-18503.4154, 150718.05193)",True,True,False,0.0,0,0,0,0,0,
"(-18549.02809, 150615.1303)","(-18630.00538, 150654.28451)",True,False,False,0.09139291766597087,687,245,1031,245,515,"[(-18571.10648, 150634.16971)]"
"(-18549.02809, 150615.1303)","(-18443.77608, 150561.90141)",True,False,False,0.1197815720933171,899,321,1350,321,675,"[(-18521.06918, 150591.01981)]"
"(-18549.02809, 150615.1303)","(-18503.4154, 150718.05193)",True,True,False,0.0,0,0,0,0,0,
"(-18322.26908, 150227.93081)","(-18342.90658, 150253.33091)",True,False,33.3998,0.032727228514800574,246,88,369,88,184,
"(-18322.26908, 150227.93081)","(-18282.07533, 150226.82867)",True,False,False,0.04796258372102655,360,128,541,128,271,"[(-18287.34398, 150216.81831)]"
"(-18322.26908, 150227.93081)","(-18146.12851, 150452.80874)",False,True,False,0.0,0,0,0,0,0,
"(-18342.90658, 150253.33091)","(-18322.26908, 150227.93081)",True,False,33.3998,0.032727228514800574,246,88,369,88,184,
"(-18342.90658, 150253.33091)","(-18347.0217, 150265.21897)",True,False,33.3998,0.012580150363885106,95,34,142,34,71,
"(-18342.90658, 150253.33091)","(-18146.12851, 150452.80874)",False,True,False,0.0,0,0,0,0,0,
"(-18282.07533, 150226.82867)","(-18322.26908, 150227.93081)",True,False,False,0.04796258372102655,360,128,541,128,271,"[(-18287.34398, 150216.81831)]"
"(-18282.07533, 150226.82867)","(-18093.02696, 150760.11979)",True,False,False,1.219433931342211,9163,3273,13744,3273,6871,"[(-17868.38508, 150456.51991), (-17867.40528, 150440.27701), (-17870.07978, 150389.03311), (-17874.94588, 150307.98511), (-17878.12098, 150280.46841), (-17865.42088, 150259.30161), (-17871.98088, 150205.19651), (-17917.45568, 150175.54321), (-17971.43088, 150150.14311), (-18030.16848, 150186.65571), (-18079.38108, 150208.88081), (-18109.54368, 150205.70581), (-18201.61878, 150219.99321), (-18215.90628, 150229.51831), (-18271.46888, 150246.98081), (-17863.39238, 150495.88361)]"
"(-18282.07533, 150226.82867)","(-18146.12851, 150452.80874)",True,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18322.26908, 150227.93081)",False,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18172.44848, 150818.01901)",False,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18443.77608, 150561.90141)",False,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18342.90658, 150253.33091)",False,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18347.0217, 150265.21897)",True,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18282.07533, 150226.82867)",True,True,False,0.0,0,0,0,0,0,
"(-18146.12851, 150452.80874)","(-18093.02696, 150760.11979)",True,True,False,0.0,0,0,0,0,0,
"(-19108.27488, 150439.06671)","(-19088.28132, 150702.15719)",True,False,False,0.48833576202141604,3668,1310,5503,1310,2751,"[(-18996.32668, 150487.65351), (-19020.23948, 150474.60551), (-19078.91838, 150413.07171)]"
"(-19108.27488, 150439.06671)","(-18992.63083, 150373.88496)",True,False,False,0.43229037902976925,3248,1160,4872,1160,2438,"[(-19218.12978, 150299.11341), (-19171.50488, 150282.66491)]"
"(-19108.27488, 150439.06671)","(-19001.43311, 150620.92439)",False,True,False,0.0,0,0,0,0,0,
"(-19088.28132, 150702.15719)","(-19108.27488, 150439.06671)",True,False,False,0.48833576202141604,3668,1310,5503,1310,2751,"[(-18996.32668, 150487.65351), (-19020.23948, 150474.60551), (-19078.91838, 150413.07171)]"
"(-19088.28132, 150702.15719)","(-19365.44542, 150724.09402)",True,False,False,0.32376240357281727,2433,869,3651,869,1824,"[(-19361.29208, 150710.92221), (-19231.07798, 150758.08451)]"
"(-19088.28132, 150702.15719)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
"(-18992.63083, 150373.88496)","(-19108.27488, 150439.06671)",True,False,False,0.43229037902976925,3248,1160,4872,1160,2438,"[(-19218.12978, 150299.11341), (-19171.50488, 150282.66491)]"
"(-18992.63083, 150373.88496)","(-18845.63342, 150416.73626)",True,False,False,0.15460536977767256,1162,415,1742,415,872,"[(-18953.72898, 150376.04031)]"
"(-18992.63083, 150373.88496)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
"(-18707.12948, 150590.32501)","(-18723.67344, 150609.30989)",True,False,30.4836,0.025181903841769115,189,68,284,68,142,
"(-18707.12948, 150590.32501)","(-18728.97474, 150487.73166)",True,False,False,0.13979942986174912,1051,375,1576,375,787,"[(-18716.92848, 150493.56261)]"
"(-18707.12948, 150590.32501)","(-19001.43311, 150620.92439)",False,True,False,0.0,0,0,0,0,0,
"(-18728.97474, 150487.73166)","(-18707.12948, 150590.32501)",True,False,False,0.13979942986174912,1051,375,1576,375,787,"[(-18716.92848, 150493.56261)]"
"(-18728.97474, 150487.73166)","(-18845.63342, 150416.73626)",True,False,False,0.13988309544306865,1051,375,1576,375,788,"[(-18811.28838, 150425.75321)]"
"(-18728.97474, 150487.73166)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
"(-18172.44848, 150818.01901)","(-18190.1355, 150820.50617)",True,False,33.3998,0.01786103696166984,134,48,201,48,101,
"(-18172.44848, 150818.01901)","(-18093.02696, 150760.11979)",True,False,False,0.09856021427766884,741,264,1110,264,555,"[(-18135.40668, 150795.52941)]"
"(-18172.44848, 150818.01901)","(-18443.77608, 150561.90141)",True,False,False,0.3928742405310365,2953,1057,4431,1057,2214,"[(-18186.58798, 150792.92211), (-18180.27278, 150804.13131), (-18193.45058, 150780.74141), (-18221.13738, 150747.73311), (-18236.48708, 150729.00501), (-18246.49438, 150720.21761), (-18283.28178, 150687.94701)]"
"(-18172.44848, 150818.01901)","(-18146.12851, 150452.80874)",False,True,False,0.0,0,0,0,0,0,
