0.0 * C_node3node197_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node197_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node197_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node197_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node197_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node197_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node197_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node197_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1539.0 * C_node4node51_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1295.8 * C_node4node51_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
918.61 * C_node4node51_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
651.22 * C_node4node51_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
461.66 * C_node4node51_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
327.28 * C_node4node51_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2309.0 * C_node4node51_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1944.12 * C_node4node51_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1378.22 * C_node4node51_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
977.05 * C_node4node51_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
692.65 * C_node4node51_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
491.03 * C_node4node51_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2666.0 * C_node4node142_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2244.7 * C_node4node142_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1591.31 * C_node4node142_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1128.11 * C_node4node142_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
799.74 * C_node4node142_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
566.95 * C_node4node142_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3998.0 * C_node4node142_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3366.21 * C_node4node142_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2386.37 * C_node4node142_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1691.74 * C_node4node142_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1199.31 * C_node4node142_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
850.21 * C_node4node142_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2453.0 * C_node4node92_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2065.36 * C_node4node92_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1464.17 * C_node4node92_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1037.98 * C_node4node92_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
735.84 * C_node4node92_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
521.65 * C_node4node92_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3678.0 * C_node4node92_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3096.78 * C_node4node92_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2195.36 * C_node4node92_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1556.33 * C_node4node92_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
