UG,species,Presc,period,Vremovido(ton),Rait
1086,Ec,1700,1,232.2839025,20.1158
1086,Sb,1700,1,0.0,8.6211
1086,Sb,1700,2,0.0,27.3
1086,Sb,1700,3,0.0,33.0474
1086,Sb,1700,4,131.91094800000002,35.9211
1086,Sb,1700,5,204.98314200000002,35.9211
1087,Ec,3700,1,0.0,31.711
1087,Ec,3700,2,439.66881000000006,6.8564
1087,Sb,3700,2,0.0,26.5687
1087,Sb,3700,3,0.0,34.2822
1087,Sb,3700,4,0.0,34.2822
1087,Sb,3700,5,157.36539,34.2822
1088,Ec,1,1,92.8409175,11.0881
1088,Ec,1,2,84.219885,11.0881
1088,Ec,1,3,72.65943000000001,11.0881
1088,Ec,1,4,176.3839125,11.0881
1088,Ec,1,5,158.17167,11.0881
1089,Ec,2700,1,201.67272000000003,17.3279
1089,Sb,2700,1,0.0,3.6756
1089,Sb,2700,2,0.0,17.8529
1089,Sb,2700,3,0.0,24.154
1089,Sb,2700,4,96.41221200000001,26.2543
1089,Sb,2700,5,149.819826,26.2543
109,Pb,503,1,0.0,8.8495
109,Pb,503,2,0.0,11.615
109,Pb,503,3,48.11928,14.9336
109,Pb,503,4,123.78269999999999,16.0398
109,Pb,503,5,903.31506,14.3805
1091,Ec,19,1,212.61885750000002,18.1813
1091,Ec,19,2,185.61960000000002,18.1813
1091,Ec,19,3,281.03733000000005,18.1813
1091,Ec,19,4,255.57214500000003,18.1813
1091,Ec,19,5,222.74352000000002,18.1813
1092,Ec,19,1,641.1707550000001,39.5235
1092,Ec,19,2,671.4062325,39.5235
1092,Ec,19,3,901.7297325000001,39.5235
1092,Ec,19,4,824.36238,39.5235
1092,Ec,19,5,720.3166650000001,39.5235
1093,Ec,3,1,167.6633175,25.3577
1093,Ec,3,2,283.97729250000003,24.7814
1093,Ec,3,3,0.0,24.2051
1093,Ec,3,4,255.57957,24.2051
1093,Ec,3,5,584.68203,23.6288
1093,Pb,503,1,0.0,12.6623
1093,Pb,503,2,0.0,14.3506
1093,Pb,503,3,70.90866,17.7272
1093,Pb,503,4,191.95986000000002,21.1038
1093,Pb,503,5,1394.87454,18.5713
1094,Ec,20,1,415.4768775,26.6459
1094,Ec,20,2,423.27083250000004,26.6459
1094,Ec,20,3,636.105285,26.6459
1094,Ec,20,4,580.9482,26.6459
1094,Ec,20,5,503.60832000000005,26.6459
1095,Ec,36,1,812.814345,25.7702
1095,Ec,36,2,1126.976085,25.7702
1095,Ec,36,3,0.0,24.2083
1095,Ec,36,4,1049.489865,25.7702
1095,Ec,36,5,928.7800875,25.7702
1096,Ec,36,1,1856.0480400000001,114.3134
1096,Ec,36,2,3557.7729900000004,114.3134
1096,Ec,36,3,0.0,105.0447
1096,Ec,36,4,3292.9211475000006,114.3134
1096,Ec,36,5,2888.3444400000003,117.403
1097,Ec,21,1,333.3951225,24.2911
1097,Ec,21,2,338.8605975,24.9139
1097,Ec,21,3,506.609235,24.9139
1097,Ec,21,4,462.88530000000003,23.6682
1097,Ec,21,5,0.0,24.2911
1099,Ec,20700,1,296.535195,34.9225
1099,Sb,20700,1,0.0,9.9779
1099,Sb,20700,2,0.0,49.8893
1099,Sb,20700,3,0.0,49.8893
1099,Sb,20700,4,229.006986,49.8893
1099,Sb,20700,5,355.86564,49.8893
11,Pb,500700,1,0.0,6.4757
11,Pb,500700,2,0.0,8.6343
11,Pb,500700,3,247.37154,9.066
11,Sb,500700,3,0.0,1.2951
11,Sb,500700,4,0.0,13.8148
11,Sb,500700,5,0.0,18.5637
110,Ec,1600,1,1048.8689325,57.6846
110,Qr,1600,1,0.0,18.0264
110,Qr,1600,2,0.0,90.1322
110,Qr,1600,3,0.0,90.1322
110,Qr,1600,4,3.1640699999999997,90.1322
110,Qr,1600,5,223.63122600000003,90.1322
1100,Ec,19,1,446.53781250000003,29.0148
