UG,species,Presc,period,Vremovido(ton),Rait
1034,Sb,34700,4,211.99214400000002,57.7283
1034,Sb,34700,5,329.425356,57.7283
1035,Ec,1700,1,325.46171250000003,28.244
1035,Sb,1700,1,0.0,15.1307
1035,Sb,1700,2,0.0,45.3921
1035,Sb,1700,3,0.0,50.4357
1035,Sb,1700,4,185.212092,50.4357
1035,Sb,1700,5,287.810406,50.4357
1036,Ec,20700,1,610.1462025000001,7.9118
1036,Sb,20700,1,0.0,31.6471
1036,Sb,20700,2,0.0,37.5809
1036,Sb,20700,3,0.0,39.5589
1036,Sb,20700,4,181.58712,39.5589
1036,Sb,20700,5,282.177402,39.5589
1037,Ec,34700,1,175.93085250000001,10.8599
1037,Sb,34700,1,0.0,43.4397
1037,Sb,34700,2,0.0,54.2996
1037,Sb,34700,3,0.0,54.2996
1037,Sb,34700,4,249.251652,54.2996
1037,Sb,34700,5,387.324834,54.2996
1037,Sb,700,1,0.0,24.9701
1037,Sb,700,2,0.0,28.5373
1037,Sb,700,3,0.0,28.5373
1037,Sb,700,4,0.0,28.5373
1037,Sb,700,5,0.0,28.5373
1038,Ec,21700,1,835.3823625,8.1028
1038,Sb,21700,1,0.0,72.9252
1038,Sb,21700,2,0.0,81.028
1038,Sb,21700,3,0.0,81.028
1038,Sb,21700,4,297.55408800000004,81.028
1038,Sb,21700,5,995.302074,81.028
1039,Ec,19700,1,400.23895500000003,23.4251
1039,Sb,19700,1,0.0,5.8563
1039,Sb,19700,2,0.0,27.0852
1039,Sb,19700,3,0.0,32.2094
1039,Sb,19700,4,134.40999000000002,36.6016
1039,Sb,19700,5,208.86652800000002,36.6016
104,Pb,503,1,0.0,8.2562
104,Pb,503,2,29.014799999999997,10.6152
104,Pb,503,3,156.39696,13.5638
104,Pb,503,4,182.22719999999998,15.333
104,Pb,503,5,1425.26442,17.692
1040,Ec,20700,1,466.1772075,7.5562
1040,Sb,20700,1,0.0,27.2022
1040,Sb,20700,2,0.0,31.7359
1040,Sb,20700,3,0.0,37.7808
1040,Sb,20700,4,138.74016,37.7808
1040,Sb,20700,5,215.595354,37.7808
1041,Ec,1700,1,760.0719375000001,23.7742
1041,Sb,1700,1,0.0,12.9677
1041,Sb,1700,2,0.0,39.9839
1041,Sb,1700,3,0.0,43.2258
1041,Sb,1700,4,198.419442,43.2258
1041,Sb,1700,5,308.334078,43.2258
1042,Ec,19700,1,115.66374750000001,2.937
1042,Sb,19700,1,0.0,26.4333
1042,Sb,19700,2,0.0,29.3703
1042,Sb,19700,3,0.0,29.3703
1042,Sb,19700,4,179.757864,29.3703
1042,Sb,19700,5,601.280238,29.3703
1043,Ec,35700,1,122.534235,1.7165
1043,Sb,35700,1,0.0,14.3043
1043,Sb,35700,2,0.0,16.0208
1043,Sb,35700,3,0.0,17.1651
1043,Sb,35700,4,105.057498,17.1651
1043,Sb,35700,5,351.41152800000003,17.1651
1044,Ec,35700,1,134.8325325,1.8888
1044,Sb,35700,1,0.0,14.4808
1044,Sb,35700,2,0.0,17.6287
1044,Sb,35700,3,0.0,18.8879
1044,Sb,35700,4,115.60169400000001,18.8879
1044,Sb,35700,5,386.681412,18.8879
1045,Ec,19700,1,70.06014,1.779
1045,Sb,19700,1,0.0,13.0462
1045,Sb,19700,2,0.0,15.4182
1045,Sb,19700,3,0.0,17.7902
1045,Sb,19700,4,108.883398,17.7902
1045,Sb,19700,5,364.208988,17.7902
1046,Ec,37700,1,243.24941250000003,3.4075
1046,Sb,37700,1,0.0,30.6679
1046,Sb,37700,2,0.0,34.0754
1046,Sb,37700,3,0.0,34.0754
1046,Sb,37700,4,208.555386,34.0754
1046,Sb,37700,5,697.606182,34.0754
1047,Ec,19700,1,295.3131075,4.9992
1047,Sb,19700,1,0.0,89.986
1047,Sb,19700,2,0.0,99.9844
1047,Sb,19700,3,0.0,99.9844
1047,Sb,19700,4,458.95855200000005,99.9844
1047,Sb,19700,5,1535.1909300000002,99.9844
1048,Ec,35700,1,386.35393500000004,1.9859
1048,Sb,35700,1,0.0,17.8731
1048,Sb,35700,2,0.0,19.859
1048,Sb,35700,3,0.0,19.859
1048,Sb,35700,4,121.54521600000001,19.859
1048,Sb,35700,5,406.56213,19.859
1049,Ec,37700,1,161.41227750000002,3.0148
1049,Sb,37700,1,0.0,23.3651
1049,Sb,37700,2,0.0,27.1336
1049,Sb,37700,3,0.0,30.1485
1049,Sb,37700,4,138.390486,30.1485
1049,Sb,37700,5,462.90839400000004,30.1485
105,Ec,3,1,460.103625,29.2861
105,Ec,3,2,469.4934825,29.2861
105,Ec,3,3,425.5094025000001,29.2861
105,Ec,3,4,689.9083875,29.2861
105,Ec,3,5,0.0,29.2861
1050,Ec,22700,1,410.29267500000003,3.5247
1050,Sb,22700,1,0.0,29.9602
1050,Sb,22700,2,0.0,34.3661
1050,Sb,22700,3,0.0,35.2473
1050,Sb,22700,4,161.795634,35.2473
1050,Sb,22700,5,541.197462,35.2473
1051,Ec,19700,1,273.208005,15.1404
1051,Sb,19700,1,0.0,15.1404
1051,Sb,19700,2,0.0,30.2807
1051,Sb,19700,3,0.0,30.2807
1051,Sb,19700,4,185.330262,30.2807
1051,Sb,19700,5,287.994096,30.2807
1052,Ec,35700,1,273.754755,3.746
1052,Sb,35700,1,0.0,33.7137
1052,Sb,35700,2,0.0,37.4597
1052,Sb,35700,3,0.0,37.4597
1052,Sb,35700,4,229.268286,37.4597
1052,Sb,35700,5,766.88976,37.4597
1053,Ec,19700,1,152.8505775,11.294
1053,Sb,19700,1,0.0,9.0352
1053,Sb,19700,2,0.0,17.5057
1053,Sb,19700,3,0.0,22.5881
1053,Sb,19700,4,103.685946,22.5881
1053,Sb,19700,5,161.122884,22.5881
1054,Ec,19700,1,304.29729,27.1918
1054,Sb,19700,1,0.0,28.6229
1054,Sb,19700,2,0.0,57.2458
1054,Sb,19700,3,0.0,57.2458
1054,Sb,19700,4,262.775448,57.2458
1054,Sb,19700,5,408.340062,57.2458
1055,Ec,35700,1,154.640745,4.7237
1055,Sb,35700,1,0.0,18.8946
1055,Sb,35700,2,0.0,22.0437
1055,Sb,35700,3,0.0,23.6183
1055,Sb,35700,4,144.553422,23.6183
1055,Sb,35700,5,224.628846,23.6183
1056,Ec,35700,1,344.37568500000003,12.2305
1056,Sb,35700,1,0.0,55.9108
1056,Sb,35700,2,0.0,69.8885
1056,Sb,35700,3,0.0,69.8885
1056,Sb,35700,4,320.80924200000004,69.8885
1056,Sb,35700,5,498.52179,69.8885
1057,Ec,19700,1,185.47359749999998,27.7376
1057,Sb,19700,1,0.0,6.9344
1057,Sb,19700,2,0.0,33.8052
1057,Sb,19700,3,0.0,39.8728
1057,Sb,19700,4,159.154944,43.34
1057,Sb,19700,5,247.31888999999998,43.34
1058,Ec,1700,1,1022.8532175,25.4621
1058,Sb,1700,2,0.0,24.0858
1058,Sb,1700,3,0.0,26.8384
1058,Sb,1700,4,126.355242,27.5266
1058,Sb,1700,5,196.34979,27.5266
1059,Ec,19700,1,227.17597500000002,33.9742
1059,Sb,19700,1,0.0,8.4936
1059,Sb,19700,2,0.0,44.5912
1059,Sb,19700,3,0.0,49.8996
1059,Sb,19700,4,194.939784,53.0847
1059,Sb,19700,5,302.926806,53.0847
106,Ec,3,1,678.0556575,36.2869
106,Ec,3,2,0.0,35.4018
106,Ec,3,3,614.7306675,36.2869
106,Ec,3,4,552.6004275,36.2869
106,Ec,3,5,825.61491,35.4018
1060,Ec,19700,1,183.94141500000003,29.507
1060,Sb,19700,1,0.0,8.6785
1060,Sb,19700,2,0.0,39.0534
1060,Sb,19700,3,0.0,43.3927
1060,Sb,19700,4,159.348228,43.3927
1060,Sb,19700,5,247.619268,43.3927
1061,Ec,19700,1,421.386165,9.7258
1061,Sb,19700,1,0.0,13.373
1061,Sb,19700,2,0.0,21.2752
1061,Sb,19700,3,0.0,24.3145
1061,Sb,19700,4,111.61105800000001,24.3145
1061,Sb,19700,5,173.43807,24.3145
1062,Ec,34700,1,847.7328375000001,36.2666
1062,Sb,34700,1,0.0,13.4321
1062,Sb,34700,2,0.0,65.8172
1062,Sb,34700,3,0.0,67.1605
1062,Sb,34700,4,246.629292,67.1605
1062,Sb,34700,5,383.249802,67.1605
1063,Ec,34700,1,1215.8019675,59.7185
1063,Sb,34700,1,0.0,19.264
1063,Sb,34700,2,0.0,96.3202
1063,Sb,34700,3,0.0,96.3202
1063,Sb,34700,4,353.710968,96.3202
1063,Sb,34700,5,549.649386,96.3202
1064,Ec,34700,1,1201.466655,45.6886
1064,Sb,34700,1,0.0,19.0369
1064,Sb,34700,2,0.0,95.1845
1064,Sb,34700,3,0.0,95.1845
1064,Sb,34700,4,349.540386,95.1845
1064,Sb,34700,5,543.1686,95.1845
1065,Ec,34700,1,130.928535,19.5188
1065,Sb,34700,1,0.0,4.8797
1065,Sb,34700,2,0.0,22.5686
1065,Sb,34700,3,0.0,28.0583
1065,Sb,34700,4,111.996456,30.4981
1065,Sb,34700,5,174.037032,30.4981
1066,Pb,500700,1,0.0,12.6665
1066,Pb,500700,2,0.0,14.2498
1066,Pb,500700,3,0.0,19.7913
1066,Pb,500700,4,224.19624,6.3332
1066,Sb,500700,4,0.0,26.9162
1066,Sb,500700,5,0.0,37.9994
1067,Ec,3,1,0.0,44.1712
1067,Ec,3,2,1158.8837400000002,39.5216
1067,Ec,3,3,1064.72934,43.0088
1067,Ec,3,4,926.6362200000001,41.8464
1067,Ec,3,5,1158.8837400000002,41.8464
1068,Ec,3,1,0.0,20.1313
1068,Ec,3,2,234.65295000000003,16.6943
1068,Ec,3,3,208.1384775,18.1673
1068,Ec,3,4,176.32113750000002,18.6583
1068,Ec,3,5,234.65295000000003,17.6763
1069,Ec,34700,1,587.336535,28.0364
1069,Sb,34700,1,0.0,8.0104
1069,Sb,34700,2,0.0,39.0506
1069,Sb,34700,3,0.0,40.0519
1069,Sb,34700,4,183.850368,40.0519
1069,Sb,34700,5,285.69442200000003,40.0519
107,Ec,3,1,530.119755,27.2501
107,Ec,3,2,0.0,27.2501
107,Ec,3,3,480.5979075,27.2501
107,Ec,3,4,431.5476825,27.9488
107,Ec,3,5,647.0857125,26.5514
1070,Ec,1700,1,61.7820075,7.0182
1070,Sb,1700,1,0.0,3.2167
1070,Sb,1700,2,0.0,6.7258
1070,Sb,1700,3,0.0,11.1121
1070,Sb,1700,4,53.692704,11.697
1070,Sb,1700,5,83.43581999999999,11.697
1070,Pb,503700,1,0.0,6.8533
1070,Pb,503700,2,0.0,8.9949
1070,Pb,503700,3,39.06354,11.5649
1070,Pb,503700,4,89.949,12.4215
1070,Pb,503700,5,708.02706,10.7082
1070,Sb,503700,5,0.0,2.57
1071,Ec,3,1,0.0,39.4149
1071,Ec,3,2,1034.0958150000001,35.2659
1071,Ec,3,3,950.079915,36.3032
1071,Ec,3,4,826.8565725000001,37.3404
1071,Ec,3,5,1034.0958150000001,37.3404
1072,Ec,3,1,0.0,22.6582
1072,Ec,3,2,594.4646025000001,20.2731
1072,Ec,3,3,546.1668675000001,22.0619
1072,Ec,3,4,475.33020750000003,21.4657
1072,Ec,3,5,594.4646025000001,21.4657
1073,Ec,1700,1,81.11232,9.9819
1073,Sb,1700,1,0.0,5.3749
1073,Sb,1700,2,0.0,11.5175
1073,Sb,1700,3,0.0,17.6602
1073,Sb,1700,4,70.491954,19.1959
1073,Sb,1700,5,109.541016,19.1959
1073,Pb,503700,1,0.0,8.9975
1073,Pb,503700,2,0.0,11.8092
1073,Pb,503700,3,46.562039999999996,15.7456
1073,Pb,503700,4,125.17764,16.308
1073,Pb,503700,5,918.4191,15.7456
1073,Sb,503700,5,0.0,4.4987
1074,Ec,3,1,0.0,24.198
1074,Ec,3,2,703.2532725000001,20.8371
1074,Ec,3,3,649.71531,23.5258
1074,Ec,3,4,568.047195,23.5258
1074,Ec,3,5,703.2532725000001,22.1815
1075,Ec,3,1,0.0,25.8203
1075,Ec,3,2,511.08509250000003,23.0289
1075,Ec,3,3,465.8646825,24.4246
1075,Ec,3,4,401.80239,25.1225
1075,Ec,3,5,511.08509250000003,24.4246
1076,Pb,503,1,0.0,5.7251
1076,Pb,503,2,0.0,7.807
1076,Pb,503,3,71.51213999999999,8.8479
1076,Pb,503,4,114.91908,10.4093
1076,Pb,503,5,839.09664,11.4503
1077,Ec,19700,1,163.566,5.6499
1077,Sb,19700,1,0.0,17.5776
1077,Sb,19700,2,0.0,23.8553
1077,Sb,19700,3,0.0,31.3886
1077,Sb,19700,4,115.26645,31.3886
1077,Sb,19700,5,179.11842000000001,31.3886
1078,Ec,3,1,0.0,39.3617
1078,Ec,3,2,1388.6814825,39.3617
1078,Ec,3,3,1284.17616,38.0497
1078,Ec,3,4,1124.76114,38.0497
1078,Ec,3,5,1388.6814825,39.3617
1079,Ec,1700,1,558.7560225000001,46.8559
1079,Sb,1700,1,0.0,20.8248
1079,Sb,1700,2,0.0,69.4161
1079,Sb,1700,3,0.0,69.4161
1079,Sb,1700,4,318.640608,69.4161
1079,Sb,1700,5,495.1518,69.4161
108,Ec,3,1,389.1452625,20.3176
108,Ec,3,2,0.0,20.3176
108,Ec,3,3,352.8021825,20.3176
108,Ec,3,4,317.144835,20.3176
108,Ec,3,5,473.83150500000005,20.3176
1080,Ec,1700,1,48.3904125,6.6248
1080,Sb,1700,1,0.0,1.8928
1080,Sb,1700,2,0.0,5.2052
1080,Sb,1700,3,0.0,8.5176
1080,Sb,1700,4,43.442412000000004,9.464
1080,Sb,1700,5,67.50744,9.464
1081,Ec,1700,1,217.9724175,17.5648
1081,Sb,1700,1,0.0,7.4313
1081,Sb,1700,2,0.0,22.2938
1081,Sb,1700,3,0.0,27.0228
1081,Sb,1700,4,124.04262,27.0228
1081,Sb,1700,5,192.75617400000002,27.0228
1082,Ec,19700,1,382.38250500000004,6.5396
1082,Sb,19700,1,0.0,24.5235
1082,Sb,19700,2,0.0,31.0631
1082,Sb,19700,3,0.0,32.698
1082,Sb,19700,4,150.09352800000002,32.698
1082,Sb,19700,5,233.238018,32.698
1083,Ec,1700,1,521.677125,17.7498
1083,Sb,1700,1,0.0,8.1353
1083,Sb,1700,2,0.0,25.1455
1083,Sb,1700,3,0.0,29.583
1083,Sb,1700,4,135.794724,29.583
1083,Sb,1700,5,211.018236,29.583
1084,Ec,34700,1,2001.2361525000001,36.7853
1084,Sb,34700,1,0.0,49.047
1084,Sb,34700,2,0.0,98.094
1084,Sb,34700,3,0.0,98.094
1084,Sb,34700,4,450.28097400000007,98.094
1084,Sb,34700,5,699.714444,98.094
1085,Ec,19700,1,614.8955025000001,44.0076
1085,Sb,19700,1,0.0,35.206
1085,Sb,19700,2,0.0,88.0151
1085,Sb,19700,3,0.0,88.0151
1085,Sb,19700,4,404.015742,88.0151
1085,Sb,19700,5,627.820518,88.0151
1086,Ec,1700,1,232.2839025,20.1158
1086,Sb,1700,1,0.0,8.6211
1086,Sb,1700,2,0.0,27.3
1086,Sb,1700,3,0.0,33.0474
1086,Sb,1700,4,131.91094800000002,35.9211
1086,Sb,1700,5,204.98314200000002,35.9211
1087,Ec,1700,1,323.96645250000006,29.1398
1087,Sb,1700,2,0.0,30.8539
1087,Sb,1700,3,0.0,34.2822
1087,Sb,1700,4,157.36539,34.2822
1087,Sb,1700,5,244.538112,34.2822
1088,Ec,1700,1,92.8409175,7.7617
1088,Sb,1700,1,0.0,3.3264
1088,Sb,1700,2,0.0,8.8705
