155.77 * C_node6node17_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
110.42 * C_node6node17_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
78.28 * C_node6node17_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
55.5 * C_node6node17_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
39.34 * C_node6node17_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node6node20_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node6node20_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node6node20_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node6node20_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node6node20_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node6node20_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node6node20_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node6node20_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node6node20_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node6node20_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node6node20_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node6node20_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
261.0 * C_node7node12_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
219.75 * C_node7node12_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
155.79 * C_node7node12_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
110.44 * C_node7node12_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
78.29 * C_node7node12_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
55.5 * C_node7node12_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
392.0 * C_node7node12_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
330.05 * C_node7node12_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
233.98 * C_node7node12_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
165.87 * C_node7node12_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
117.59 * C_node7node12_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
83.36 * C_node7node12_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
908.0 * C_node7node10_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
