"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-13962.53738, 146402.88011)","(-13898.76948, 146139.04071)",0.31634877214868073,False,False,1528,595,2293,595,1145,False,"[(-13919.82548, 146209.59571), (-13966.98268, 146264.17631), (-14012.03258, 146310.64711), (-13993.94328, 146361.10021)]"
"(-13962.53738, 146402.88011)","(-13872.10778, 146541.02391)",0.2822792331089865,False,False,1363,530,2046,530,1023,False,"[(-14017.72418, 146396.40761), (-13985.74738, 146442.79321)]"
"(-13962.53738, 146402.88011)","(-13843.33068, 146371.05681)",0.12623262295935153,False,False,610,237,915,237,458,False,"[(-13918.54468, 146377.61071)]"
"(-13962.53738, 146402.88011)","(-14050.24728, 146287.72287)",0.0,False,True,0,0,0,0,0,False,
"(-13962.53738, 146402.88011)","(-13774.52216, 146320.91618)",0.0,False,True,0,0,0,0,0,False,
"(-13962.53738, 146402.88011)","(-13897.71909, 146463.82065)",0.0,False,True,0,0,0,0,0,False,
"(-14265.31618, 146091.30941)","(-13898.76948, 146139.04071)",0.4379931079358459,False,False,2116,823,3173,823,1586,False,"[(-13954.38198, 146103.51351), (-14002.99008, 146103.56071), (-14067.86038, 146117.27101), (-14116.84418, 146171.23641), (-14187.03068, 146173.68971), (-14229.98888, 146134.81611)]"
"(-14265.31618, 146091.30941)","(-14342.66708, 145947.30791)",0.4228404276272123,False,False,2041,795,3064,795,1532,False,"[(-14226.97318, 145979.01041), (-14183.51238, 146031.28731), (-14185.33898, 146090.46361)]"
"(-14265.31618, 146091.30941)","(-14293.61348, 146146.41531)",0.061946730358451274,False,False,299,116,449,116,224,17.9453,
"(-14265.31618, 146091.30941)","(-13963.64637, 145976.30874)",0.0,False,True,0,0,0,0,0,False,
"(-14265.31618, 146091.30941)","(-14585.89342, 145983.83295)",0.0,False,True,0,0,0,0,0,False,
"(-14265.31618, 146091.30941)","(-14050.24728, 146287.72287)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-13898.76948, 146139.04071)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-14303.29188, 145778.45391)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-13895.32728, 145698.62381)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-14244.10188, 145768.12701)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-13567.18558, 146177.82421)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-14342.66708, 145947.30791)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-13977.27458, 145720.25701)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-14265.31618, 146091.30941)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-13740.26288, 146249.11651)",0.0,False,True,0,0,0,0,0,False,
"(-13963.64637, 145976.30874)","(-13583.63677, 146097.02885)",0.0,False,True,0,0,0,0,0,False,
"(-14050.24728, 146287.72287)","(-13898.76948, 146139.04071)",0.0,False,True,0,0,0,0,0,False,
"(-14050.24728, 146287.72287)","(-13872.10778, 146541.02391)",0.0,False,True,0,0,0,0,0,False,
"(-14050.24728, 146287.72287)","(-14068.93818, 146558.79081)",0.0,False,True,0,0,0,0,0,False,
"(-14050.24728, 146287.72287)","(-13962.53738, 146402.88011)",0.0,False,True,0,0,0,0,0,False,
"(-14050.24728, 146287.72287)","(-14293.61348, 146146.41531)",0.0,False,True,0,0,0,0,0,False,
"(-14050.24728, 146287.72287)","(-14265.31618, 146091.30941)",0.0,False,True,0,0,0,0,0,False,
"(-13774.52216, 146320.91618)","(-13898.76948, 146139.04071)",0.0,False,True,0,0,0,0,0,False,
