"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-11279.64678, 144317.65751)","(-11010.83498, 144515.51401)",0.3407579255163589,False,False,2560,914,3841,914,1921,False,"[(-11227.49668, 144347.25191), (-11164.38308, 144403.84001), (-11103.24358, 144421.58611), (-11059.54818, 144474.97531)]"
"(-12404.28668, 145555.55021)","(-12464.88198, 145610.27421)",0.08164867762610681,True,False,614,219,920,219,460,25.7721,
"(-12404.28668, 145555.55021)","(-12350.97338, 145416.77831)",0.1518726726400225,True,False,1141,406,1712,406,858,False,"[(-12362.50108, 145477.14681), (-12359.71378, 145462.55041), (-12365.25918, 145491.59051)]"
"(-12404.28668, 145555.55021)","(-12460.81378, 146096.66401)",1.224155449006219,False,False,9199,3288,13797,3288,6901,False,"[(-12132.32018, 145815.81351), (-12150.15268, 145756.11531), (-12181.57048, 145718.19771), (-12227.01288, 145663.06691), (-12266.05088, 145592.35111), (-12301.17018, 145589.28221), (-12326.23788, 145587.09161), (-12374.72968, 145595.07381), (-12206.40008, 145818.77791), (-12430.67428, 146053.77061)]"
"(-15543.70108, 146719.93721)","(-15560.00118, 146806.31831)",0.09360940686114812,False,False,452,176,678,176,340,False,"[(-15562.84168, 146741.91801)]"
"(-15543.70108, 146719.93721)","(-15415.43758, 146498.93001)",0.3035620047312801,False,False,1466,571,2200,571,1101,False,"[(-15512.99468, 146673.10141), (-15480.61598, 146641.86651), (-15502.96608, 146559.30251), (-15450.45338, 146516.45381)]"
"(-15543.70108, 146719.93721)","(-14736.57198, 146718.84911)",1.6561619532243887,False,False,7999,3108,12002,3108,6002,False,"[(-15484.84928, 146760.08261), (-15476.05418, 146776.79321), (-15441.98668, 146841.04521), (-15384.83658, 146852.15781), (-15384.64478, 146852.06641), (-15384.50278, 146852.09401), (-15384.31788, 146852.13001), (-15384.17988, 146852.15661), (-15384.17508, 146852.15771), (-15384.05828, 146852.10211), (-15383.63408, 146851.90011), (-15383.15848, 146851.67361), (-15361.86718, 146841.53491), (-15312.98428, 146817.35611), (-15309.34438, 146815.48401), (-15279.64238, 146800.20731), (-15274.99918, 146797.81921), (-15271.14458, 146795.80811), (-15268.14578, 146794.24351), (-15264.01778, 146792.08961), (-15263.93608, 146792.04711), (-15241.96128, 146810.88271), (-15257.70018, 146848.41391), (-15262.59888, 146860.09531), (-15308.63638, 146885.49531), (-15299.19228, 146900.25181), (-15283.23638, 146925.18291)]"
"(-12126.29698, 145154.53001)","(-11660.15818, 145199.22361)",0.801286706701368,True,False,3872,1503,5806,1503,2901,False,"[(-11935.54898, 145084.89061), (-11935.99448, 145084.79211), (-11935.54898, 145083.56771), (-11943.96138, 145081.70671), (-11946.09308, 145082.55811), (-12058.47178, 145127.44071), (-11956.00868, 145141.11541), (-11795.57998, 145217.47361), (-11730.09568, 145234.71171)]"
"(-12126.29698, 145154.53001)","(-12161.17988, 144965.63811)",0.2933524291654665,True,False,1416,553,2126,553,1063,False,"[(-12150.65208, 145144.39081), (-12209.91338, 145103.27451), (-12251.48238, 145065.33031), (-12213.62788, 144998.91311)]"
"(-12126.29698, 145154.53001)","(-12226.24183, 145268.4027)",0.15266076260014816,True,False,1149,409,1721,409,861,False,"[(-12136.65418, 145166.97901), (-12149.31148, 145182.19271), (-12160.51058, 145195.65361), (-12160.85298, 145196.06521), (-12174.28478, 145213.55311), (-12207.56518, 145256.88351)]"
"(-12965.98498, 143814.10021)","(-12663.21388, 143837.87751)",0.30491436141512496,False,False,2291,819,3437,819,1719,False,"[(-12881.73998, 143808.54271)]"
"(-12965.98498, 143814.10021)","(-13232.93838, 143775.54841)",0.27017923609848227,False,False,2030,725,3046,725,1523,False,"[(-13042.84018, 143795.78861), (-13186.73848, 143780.45451)]"
"(-12965.98498, 143814.10021)","(-13210.23278, 143932.93721)",0.5929613176370361,False,False,4456,1592,6683,1592,3343,False,"[(-12943.44638, 143852.24531), (-12842.89558, 143967.87851), (-12973.14218, 143963.06211), (-13034.52098, 143972.33861), (-13110.04068, 143946.98981)]"
"(-13901.03998, 144111.14871)","(-13990.32948, 144140.17711)",0.11179773866576254,False,False,540,210,810,210,405,False,"[(-13959.42868, 144098.33111)]"
"(-13901.03998, 144111.14871)","(-13631.48538, 144210.39821)",0.3662251436317489,False,False,1769,688,2654,688,1326,False,"[(-13860.94778, 144136.24121), (-13807.80138, 144156.59871), (-13757.74248, 144103.08431), (-13703.38148, 144111.35721), (-13636.60848, 144158.82911)]"
"(-13127.19118, 145351.06941)","(-13038.96588, 145407.01511)",0.10446829618875411,True,False,505,196,757,196,378,24.9455,
"(-13127.19118, 145351.06941)","(-12953.64678, 145875.34591)",0.786276158755329,True,False,3801,1478,5698,1478,2848,False,"[(-13183.69518, 145362.82751), (-13212.28022, 145386.6771), (-13221.60638, 145569.76031), (-13185.88748, 145620.56041)]"
"(-13889.55158, 147172.20381)","(-14234.68988, 147049.58221)",0.3735122788526468,False,False,1804,702,2706,702,1354,False,"[(-13932.18388, 147166.98641), (-14001.65808, 147141.05341), (-14056.80878, 147124.81501), (-14112.46208, 147103.44731), (-14159.89478, 147061.02821)]"
"(-13889.55158, 147172.20381)","(-14261.79398, 147279.95771)",0.43655936889250757,False,False,2109,822,3164,822,1581,False,"[(-13892.61338, 147203.38411), (-13923.04048, 147227.19671), (-14019.61358, 147248.36341), (-14051.36368, 147278.79051), (-14126.77008, 147311.86351), (-14191.59308, 147310.54061)]"
