Node,Stand
"(-8785.23838, 148022.34251)","[1054, 1055]"
"(-8717.12968, 147979.97041)","[1054, 1055]"
"(-8702.89838, 147929.52861)","[1054, 1055]"
"(-8743.41978, 147898.69221)",[1054]
"(-8793.60158, 147891.64981)",[1054]
"(-8840.30868, 147867.84431)",[1054]
"(-8884.75568, 147869.82251)",[1054]
"(-9028.95148, 147890.42291)",[1054]
"(-8562.57288, 148117.30211)","[1574, 1055]"
"(-8558.92988, 148116.54621)","[1574, 1055]"
"(-8545.28478, 148132.46591)","[1574, 1055]"
"(-8511.39168, 148103.74591)",[1055]
"(-8522.51208, 148084.98341)",[1055]
"(-8538.61208, 148054.65071)",[1055]
"(-8619.88028, 147984.11321)",[1055]
"(-8912.82168, 148231.13371)","[1052, 1055]"
"(-8865.43088, 148266.08491)","[1052, 1055]"
"(-8816.58088, 148229.34971)","[1052, 1055]"
"(-8753.11468, 148249.02201)","[1052, 1055]"
"(-8750.98768, 148250.61981)","[1052, 1055]"
"(-8724.53578, 148270.51981)","[1052, 1055]"
"(-8722.75538, 148271.85911)","[1052, 1055]"
"(-8721.20548, 148273.02491)","[1052, 1055]"
"(-8710.41598, 148281.14121)","[1052, 1055]"
"(-8706.42368, 148284.14431)","[1052, 1055]"
"(-8704.76708, 148285.39041)","[1052, 1055]"
"(-8697.40668, 148290.92711)","[1052, 1055]"
"(-8695.40188, 148292.43521)","[1052, 1574, 1055]"
"(-8690.55348, 148283.99431)","[1574, 1055]"
"(-8662.89188, 148236.27741)","[1574, 1055]"
"(-8625.55138, 148175.54291)","[1574, 1055]"
"(-8602.02988, 148151.88191)","[1574, 1055]"
"(-8574.02048, 148123.87311)","[1574, 1055]"
"(-8568.63588, 148119.74131)","[1574, 1055]"
"(-9751.58148, 148399.60361)","[1051, 1053]"
"(-9713.87588, 148440.52801)","[1051, 1053]"
"(-9693.45468, 148388.84251)","[1051, 1053]"
"(-9700.28238, 148336.33611)","[1051, 1053]"
"(-9661.52468, 148294.83971)","[1051, 1053]"
"(-9626.82888, 148239.51031)","[1051, 1053]"
"(-9586.97038, 148201.97821)","[1051, 1053]"
"(-9546.79658, 148163.99301)","[1051, 1053]"
"(-9495.01278, 148129.52711)","[1051, 1053]"
"(-9593.88298, 148433.50071)","[1049, 1050, 1051]"
"(-9513.47828, 148394.73071)","[1050, 1051]"
"(-9440.11298, 148305.95491)","[1050, 1051]"
"(-9365.56338, 148301.99011)","[1050, 1051]"
"(-9293.03018, 148264.70091)","[1050, 1051]"
"(-9253.80198, 148225.14851)","[1050, 1051]"
"(-9203.84008, 148208.17941)","[1050, 1051]"
"(-9738.80558, 148537.42421)","[1049, 1210, 1051]"
"(-9660.85948, 148508.87151)","[1049, 1051]"
"(-9642.68788, 148468.53731)","[1049, 1051]"
"(-9069.24628, 148211.26811)","[1050, 1052]"
"(-9067.36148, 148276.03841)","[1050, 1052]"
"(-9106.15468, 148318.03331)","[1050, 1052]"
"(-9178.03338, 148316.74301)","[1050, 1052]"
"(-9205.03438, 148367.03321)","[1050, 1052]"
"(-9214.34918, 148414.11071)","[1050, 1052]"
"(-9174.08048, 148445.29081)","[1050, 1052]"
"(-9139.31128, 148472.88621)","[1050, 1052]"
"(-9137.12338, 148540.26861)","[1048, 1050, 1275, 1052]"
"(-9052.19808, 148516.23411)","[1275, 1052]"
"(-9014.00518, 148500.79811)","[1275, 1052]"
"(-8921.92998, 148515.08561)","[1275, 1052]"
"(-8850.49238, 148523.02311)","[1275, 1052]"
"(-8815.64888, 148572.11251)","[1275, 1052, 1574]"
"(-8798.41848, 148517.03141)","[1052, 1574]"
"(-8780.06178, 148458.35021)","[1052, 1574]"
"(-8778.48978, 148454.07221)","[1052, 1574]"
"(-8749.01508, 148373.86091)","[1052, 1574]"
"(-8726.16918, 148339.59271)","[1052, 1574]"
"(-8699.01658, 148298.86441)","[1052, 1574]"
"(-8698.00658, 148297.08991)","[1052, 1574]"
"(-8695.77738, 148293.17301)","[1052, 1574]"
"(-8695.40348, 148292.51601)","[1052, 1574]"
"(-8695.37098, 148292.45841)","[1052, 1574]"
"(-9546.83648, 148460.23861)","[1049, 1050]"
"(-9490.15898, 148485.35951)","[1049, 1050]"
"(-9426.05538, 148523.91821)","[1048, 1049, 1050]"
"(-9383.68368, 148478.32961)","[1048, 1050]"
"(-9344.41278, 148461.40921)","[1048, 1050]"
"(-9283.22038, 148472.06441)","[1048, 1050]"
"(-9223.28058, 148508.37481)","[1048, 1050]"
"(-8820.90178, 148588.90471)","[1275, 1574]"
"(-8824.01338, 148598.85151)","[1275, 1574]"
"(-8825.54598, 148600.52401)","[1275, 1574]"
"(-8828.14548, 148604.23641)","[1275, 1574]"
"(-8830.06068, 148608.34391)","[1275, 1574]"
"(-8831.23368, 148612.72161)","[1275, 1574]"
"(-8831.35738, 148614.13511)","[1275, 1574]"
"(-8831.53088, 148616.11821)","[1275, 1574]"
"(-8831.62868, 148617.23641)","[1275, 1574]"
"(-8831.62868, 148620.27621)","[1275, 1574]"
"(-8831.62878, 148635.91841)","[1275, 1574]"
"(-8831.62878, 148642.23551)","[1275, 1574]"
"(-8831.23378, 148646.75051)","[1275, 1574]"
"(-8830.64528, 148648.94701)","[1275, 1574]"
"(-8829.41218, 148652.51591)","[1275, 1045, 1574]"
"(-8828.16318, 148653.92091)","[1045, 1574]"
"(-8828.34138, 148654.81561)","[1045, 1574]"
"(-8828.14558, 148655.23551)","[1045, 1574]"
"(-8827.28188, 148656.46881)","[1045, 1574]"
"(-8827.18598, 148685.83761)","[1045, 1574]"
"(-8824.01098, 148699.59601)","[1045, 1574]"
"(-8799.01508, 148710.61861)","[1045, 1574]"
