"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9930.49008, 150259.04581)","(-10308.00978, 150027.72871)",0.4580712376400755,False,True,False,2213,861,3317,861,1661,"[(-9981.54038, 150198.42031), (-10034.80758, 150138.77411), (-10085.35118, 150101.45111), (-10132.32578, 150076.34971), (-10181.03168, 150068.55591), (-10238.72308, 150048.11771)]"
"(-9930.49008, 150259.04581)","(-9897.69168, 150484.64831)",0.543867867138763,False,False,False,2627,1022,3941,1022,1971,"[(-9859.28658, 150296.03861), (-9799.63428, 150290.82181), (-9751.77888, 150291.30881), (-9781.91218, 150356.76081), (-9716.63368, 150384.95671), (-9770.99048, 150441.06681), (-9831.18668, 150454.98061)]"
"(-9930.49008, 150259.04581)","(-10030.8537, 149930.39017)",0.0,False,False,True,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-10123.71377, 150155.0526)",0.0,False,False,True,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-9757.85286, 150315.83682)",0.0,False,False,True,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-10027.86364, 150363.3928)",0.0,False,False,True,0,0,0,0,0,
"(-9137.12338, 148540.26861)","(-9267.94948, 148614.27461)",0.18198476093820243,False,False,False,1368,489,2051,489,1026,"[(-9189.24138, 148591.30961), (-9239.70578, 148568.60331)]"
"(-9137.12338, 148540.26861)","(-8815.64888, 148572.11251)",0.3547077030264141,False,False,False,2665,953,3998,953,1998,"[(-9052.19808, 148516.23411), (-9014.00518, 148500.79811), (-8921.92998, 148515.08561), (-8850.49238, 148523.02311)]"
"(-9137.12338, 148540.26861)","(-9426.05538, 148523.91821)",0.32906417270302785,False,False,False,1591,619,2385,619,1192,"[(-9223.28058, 148508.37481), (-9283.22038, 148472.06441), (-9344.41278, 148461.40921), (-9383.68368, 148478.32961)]"
"(-9137.12338, 148540.26861)","(-9095.93818, 148163.72171)",0.5161915811908128,False,False,False,3881,1385,5817,1385,2908,"[(-9139.31128, 148472.88621), (-9174.08048, 148445.29081), (-9214.34918, 148414.11071), (-9205.03438, 148367.03321), (-9178.03338, 148316.74301), (-9106.15468, 148318.03331), (-9067.36148, 148276.03841), (-9069.24628, 148211.26811)]"
"(-9137.12338, 148540.26861)","(-8959.02451, 148361.81525)",0.0,False,False,True,0,0,0,0,0,
"(-9137.12338, 148540.26861)","(-9296.07777, 148364.1537)",0.0,False,False,True,0,0,0,0,0,
"(-9137.12338, 148540.26861)","(-9424.02391, 148616.83292)",0.0,False,False,True,0,0,0,0,0,
"(-9137.12338, 148540.26861)","(-9028.69179, 148622.97994)",0.0,False,False,True,0,0,0,0,0,
"(-9769.00308, 149882.78441)","(-9771.65944, 149896.3741)",0.013846874114597714,23.7919,True,False,67,26,100,26,50,
"(-9769.00308, 149882.78441)","(-9753.58756, 149871.53507)",0.01908365550164777,23.7919,True,False,92,36,138,36,69,
"(-9769.00308, 149882.78441)","(-9976.24618, 149694.22161)",0.45779482388191717,False,False,False,2212,859,3317,859,1659,"[(-9788.17138, 149835.90851), (-9813.50368, 149795.65351), (-9858.10618, 149777.67771), (-9918.18178, 149807.23631), (-9986.47948, 149840.07741), (-10023.80438, 149777.31981)]"
"(-9769.00308, 149882.78441)","(-9814.72541, 149707.54588)",0.0,False,False,True,0,0,0,0,0,
"(-9769.00308, 149882.78441)","(-10030.8537, 149930.39017)",0.0,False,False,True,0,0,0,0,0,
"(-9769.00308, 149882.78441)","(-9659.64489, 149999.23651)",0.0,False,False,True,0,0,0,0,0,
"(-8248.36388, 152149.07701)","(-8238.53978, 152081.52451)",0.0687547943581973,False,False,False,517,184,775,184,388,"[(-8247.27098, 152146.13591), (-8246.99908, 152136.34501), (-8246.47728, 152117.56081), (-8241.71478, 152089.77961)]"
"(-8248.36388, 152149.07701)","(-8273.27881, 152718.32373)",0.5904101525747435,False,False,False,4434,1583,6655,1583,3333,"[(-8256.32908, 152170.51261), (-8258.92858, 152174.22521), (-8260.84388, 152178.33271), (-8262.01688, 152182.71031), (-8262.41188, 152187.22491), (-8262.41228, 152234.16291), (-8272.67108, 152306.39441), (-8269.81748, 152333.85431), (-8279.79688, 152343.83361), (-8281.32958, 152345.50601), (-8283.92908, 152349.21861), (-8285.84428, 152353.32611)]"
"(-8248.36388, 152149.07701)","(-8322.38385, 151946.31322)",0.0,False,False,True,0,0,0,0,0,
"(-8248.36388, 152149.07701)","(-8368.12405, 152387.73976)",0.0,False,False,True,0,0,0,0,0,
"(-8248.36388, 152149.07701)","(-8339.73285, 152830.3319)",0.0,False,False,True,0,0,0,0,0,
"(-10682.58678, 147682.68901)","(-10737.26558, 147661.30971)",0.058709842768738425,20.4543,True,False,284,110,425,110,213,
"(-10682.58678, 147682.68901)","(-10663.97295, 147675.91237)",0.019809026148664147,23.9191,True,False,96,37,144,37,72,
"(-10682.58678, 147682.68901)","(-10493.83028, 147958.00721)",0.3889757657709801,False,True,False,1880,732,2818,732,1410,"[(-10673.55978, 147746.81541), (-10632.62018, 147781.66341), (-10573.24348, 147781.34821), (-10537.28528, 147857.79981), (-10518.43158, 147958.03181)]"
"(-10682.58678, 147682.68901)","(-10655.17557, 147943.26206)",0.0,False,False,True,0,0,0,0,0,
