"Source(x,y)","Target(x,y)"
"(-8368.20178, 151792.32101)","(-8485.98448, 151832.05861)"
"(-8525.44954, 151951.95126)","(-8485.98448, 151832.05861)"
"(-8322.38385, 151946.31322)","(-8485.98448, 151832.05861)"
"(-8379.33824, 151854.72353)","(-8485.98448, 151832.05861)"
"(-8398.94245, 151094.20055)","(-8541.53788, 151163.40521)"
"(-9215.07328, 147944.18051)","(-9404.45688, 148053.66941)"
"(-9623.52531, 148188.20977)","(-9404.45688, 148053.66941)"
"(-9061.65446, 148023.46264)","(-9404.45688, 148053.66941)"
"(-9566.58245, 147840.83851)","(-9404.45688, 148053.66941)"
"(-9176.27018, 149207.79901)","(-9332.35058, 149156.13771)"
"(-9355.83098, 148869.48711)","(-9332.35058, 149156.13771)"
"(-9724.23318, 148977.57961)","(-9332.35058, 149156.13771)"
"(-9474.63396, 149158.3651)","(-9332.35058, 149156.13771)"
"(-9492.41177, 148989.25343)","(-9332.35058, 149156.13771)"
"(-9056.37368, 148999.23316)","(-9332.35058, 149156.13771)"
"(-10057.25076, 148338.88572)","(-10052.42778, 148364.57841)"
"(-9824.62006, 148522.68223)","(-10052.42778, 148364.57841)"
"(-10067.64118, 148962.60741)","(-10052.42778, 148364.57841)"
"(-8562.05388, 152884.52621)","(-8266.07438, 152972.15161)"
"(-8323.28988, 153083.83651)","(-8266.07438, 152972.15161)"
"(-9829.14738, 148672.75791)","(-9624.70188, 148688.48941)"
"(-9426.05538, 148523.91821)","(-9624.70188, 148688.48941)"
"(-9465.16664, 148761.07614)","(-9624.70188, 148688.48941)"
"(-9424.02391, 148616.83292)","(-9624.70188, 148688.48941)"
"(-8476.73138, 150932.23841)","(-8505.83568, 150917.68631)"
"(-9063.63128, 150672.60231)","(-8505.83568, 150917.68631)"
"(-8236.95228, 151582.57231)","(-8505.83568, 150917.68631)"
"(-8849.463, 150892.34077)","(-8505.83568, 150917.68631)"
"(-8398.94245, 151094.20055)","(-8505.83568, 150917.68631)"
"(-8660.09166, 150546.68364)","(-9069.39828, 150629.90041)"
"(-9063.63128, 150672.60231)","(-9069.39828, 150629.90041)"
"(-8715.35286, 150252.92494)","(-9069.39828, 150629.90041)"
"(-8849.463, 150892.34077)","(-9069.39828, 150629.90041)"
"(-9120.4257, 150476.53661)","(-9069.39828, 150629.90041)"
"(-8383.39678, 150754.94041)","(-8476.73138, 150932.23841)"
"(-8537.58818, 151017.94901)","(-8476.73138, 150932.23841)"
"(-8849.463, 150892.34077)","(-8476.73138, 150932.23841)"
"(-8398.94245, 151094.20055)","(-8476.73138, 150932.23841)"
"(-9473.53342, 150764.74667)","(-9893.66848, 150764.86241)"
"(-10055.79168, 150750.85151)","(-9893.66848, 150764.86241)"
"(-9561.625, 150968.1339)","(-9893.66848, 150764.86241)"
"(-8527.00488, 148818.23501)","(-8428.40288, 148832.63961)"
"(-8687.59806, 149113.73979)","(-8428.40288, 148832.63961)"
"(-8673.18784, 148556.63592)","(-8428.40288, 148832.63961)"
"(-8548.98944, 149209.30648)","(-8428.40288, 148832.63961)"
"(-9811.39208, 147594.29381)","(-9737.58338, 147773.25181)"
