"Source(x,y)","Target(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-10787.56976, 148770.65187)","(-10927.57758, 148891.05861)",0.0,False,False,True,0,0,0,0,0,
"(-10787.56976, 148770.65187)","(-10539.29848, 148693.46491)",0.0,False,False,True,0,0,0,0,0,
"(-10787.56976, 148770.65187)","(-10810.04518, 148739.02791)",0.0,False,False,True,0,0,0,0,0,
"(-10787.56976, 148770.65187)","(-10554.96288, 148809.15251)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10479.26608, 148736.35071)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10285.51438, 149182.43681)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10549.45308, 149195.18991)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10067.64118, 148962.60741)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10550.31738, 149192.29331)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10012.02228, 149237.86841)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-9956.90198, 149155.55691)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10554.96288, 148809.15251)",0.0,False,False,True,0,0,0,0,0,
"(-10343.70484, 148954.31332)","(-10785.33388, 149058.03671)",0.0,False,False,True,0,0,0,0,0,
"(-9277.75008, 149252.42351)","(-9323.19848, 149279.06761)",0.05268268337291665,False,True,False,396,141,594,141,296,"[(-9285.16128, 149256.76831)]"
"(-9277.75008, 149252.42351)","(-9176.27018, 149207.79901)",0.11768880258436765,False,True,False,885,315,1327,315,663,"[(-9252.27138, 149248.45691), (-9204.65808, 149241.04421)]"
"(-9277.75008, 149252.42351)","(-9474.63395, 149158.3651)",0.0,False,False,True,0,0,0,0,0,
"(-9277.75008, 149252.42351)","(-9195.31222, 149600.1961)",0.0,False,False,True,0,0,0,0,0,
"(-9323.19848, 149279.06761)","(-9277.75008, 149252.42351)",0.05268268337291665,False,True,False,396,141,594,141,296,"[(-9285.16128, 149256.76831)]"
