C_timber_node6node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node83_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node7node83_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node83_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node83_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node83_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node83_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node83_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node7node83_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node83_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node83_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node83_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node83_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node82_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node7node82_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node82_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node82_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node82_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node82_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node82_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node7node82_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node82_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node82_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node82_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node82_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node100_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node7node100_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node100_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node100_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node100_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node100_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node100_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node7node100_t1: lb=0.0, ub=1.0, type=B, cost=N/A
