596.0 * M_node1node4_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
501.82 * M_node1node4_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
355.75 * M_node1node4_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
252.2 * M_node1node4_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
178.79 * M_node1node4_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
126.74 * M_node1node4_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
596.0 * M_node1node4_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
501.82 * M_node1node4_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
355.75 * M_node1node4_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
252.2 * M_node1node4_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
178.79 * M_node1node4_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
126.74 * M_node1node4_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
835.0 * M_node1node5_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
703.05 * M_node1node5_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
498.4 * M_node1node5_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
353.33 * M_node1node5_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
250.48 * M_node1node5_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
177.57 * M_node1node5_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
835.0 * M_node1node5_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
703.05 * M_node1node5_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
498.4 * M_node1node5_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
353.33 * M_node1node5_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
250.48 * M_node1node5_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
177.57 * M_node1node5_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
193.0 * M_node1node6_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
162.5 * M_node1node6_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
115.2 * M_node1node6_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
81.67 * M_node1node6_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
57.9 * M_node1node6_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
41.04 * M_node1node6_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
193.0 * M_node1node6_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
162.5 * M_node1node6_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
115.2 * M_node1node6_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
81.67 * M_node1node6_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
57.9 * M_node1node6_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
41.04 * M_node1node6_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
0.0 * M_node1node8_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
0.0 * M_node1node8_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
0.0 * M_node1node8_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
0.0 * M_node1node8_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
0.0 * M_node1node8_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
0.0 * M_node1node8_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
0.0 * M_node1node8_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
0.0 * M_node1node8_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
0.0 * M_node1node8_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
0.0 * M_node1node8_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
0.0 * M_node1node8_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
0.0 * M_node1node8_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
127.0 * M_node2node3_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
106.93 * M_node2node3_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
75.81 * M_node2node3_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
53.74 * M_node2node3_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
38.1 * M_node2node3_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
27.01 * M_node2node3_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
127.0 * M_node2node3_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
106.93 * M_node2node3_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
75.81 * M_node2node3_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
53.74 * M_node2node3_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
38.1 * M_node2node3_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
27.01 * M_node2node3_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
1232.0 * M_node2node5_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
1037.31 * M_node2node5_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
735.37 * M_node2node5_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
521.32 * M_node2node5_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
369.57 * M_node2node5_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
262.0 * M_node2node5_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
1232.0 * M_node2node5_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
1037.31 * M_node2node5_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
735.37 * M_node2node5_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
521.32 * M_node2node5_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
