C_timber_node4node95_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node95_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node95_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node95_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node95_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node95_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node4node95_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node95_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node95_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node95_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node95_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node43_t0: lb=0.0, ub=0.0, type=B, cost=850
C_timber_node5node43_t1: lb=0.0, ub=1.0, type=B, cost=850
C_timber_node5node43_t2: lb=0.0, ub=1.0, type=B, cost=850
C_timber_node5node43_t3: lb=0.0, ub=1.0, type=B, cost=850
C_timber_node5node43_t4: lb=0.0, ub=1.0, type=B, cost=850
C_timber_node5node43_t5: lb=0.0, ub=1.0, type=B, cost=850
C_wide_node5node43_t0: lb=0.0, ub=0.0, type=B, cost=1275
C_wide_node5node43_t1: lb=0.0, ub=1.0, type=B, cost=1275
C_wide_node5node43_t2: lb=0.0, ub=1.0, type=B, cost=1275
C_wide_node5node43_t3: lb=0.0, ub=1.0, type=B, cost=1275
C_wide_node5node43_t4: lb=0.0, ub=1.0, type=B, cost=1275
C_wide_node5node43_t5: lb=0.0, ub=1.0, type=B, cost=1275
C_timber_node5node11_t0: lb=0.0, ub=0.0, type=B, cost=492
C_timber_node5node11_t1: lb=0.0, ub=1.0, type=B, cost=492
C_timber_node5node11_t2: lb=0.0, ub=1.0, type=B, cost=492
C_timber_node5node11_t3: lb=0.0, ub=1.0, type=B, cost=492
C_timber_node5node11_t4: lb=0.0, ub=1.0, type=B, cost=492
C_timber_node5node11_t5: lb=0.0, ub=1.0, type=B, cost=492
C_wide_node5node11_t0: lb=0.0, ub=0.0, type=B, cost=739
C_wide_node5node11_t1: lb=0.0, ub=1.0, type=B, cost=739
C_wide_node5node11_t2: lb=0.0, ub=1.0, type=B, cost=739
C_wide_node5node11_t3: lb=0.0, ub=1.0, type=B, cost=739
C_wide_node5node11_t4: lb=0.0, ub=1.0, type=B, cost=739
C_wide_node5node11_t5: lb=0.0, ub=1.0, type=B, cost=739
C_timber_node5node57_t0: lb=0.0, ub=0.0, type=B, cost=5101
C_timber_node5node57_t1: lb=0.0, ub=1.0, type=B, cost=5101
C_timber_node5node57_t2: lb=0.0, ub=1.0, type=B, cost=5101
C_timber_node5node57_t3: lb=0.0, ub=1.0, type=B, cost=5101
C_timber_node5node57_t4: lb=0.0, ub=1.0, type=B, cost=5101
C_timber_node5node57_t5: lb=0.0, ub=1.0, type=B, cost=5101
C_wide_node5node57_t0: lb=0.0, ub=0.0, type=B, cost=7658
C_wide_node5node57_t1: lb=0.0, ub=1.0, type=B, cost=7658
C_wide_node5node57_t2: lb=0.0, ub=1.0, type=B, cost=7658
C_wide_node5node57_t3: lb=0.0, ub=1.0, type=B, cost=7658
C_wide_node5node57_t4: lb=0.0, ub=1.0, type=B, cost=7658
C_wide_node5node57_t5: lb=0.0, ub=1.0, type=B, cost=7658
C_timber_node5node91_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node5node91_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node91_t2: lb=0.0, ub=1.0, type=B, cost=0
