harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
stake,comp_24,16227.3,16225.76,0.0001,3650,291,105.13,42,0,118,23,24,84,0,39,3,0,0,0,0,0,0,0,0,39,81,123,164,184,0,0,1,23,47,15,17,18,16,18,0,0,0,0,0,0,39,41,20,18,0,0,0,1,22,0,0,1,21,2
stake,comp_26,2935.7,2935.7,0.0,1000,53,0.15,9,1,17,7,6,13,0,4,4,0,0,1,0,0,1,0,0,4,12,20,27,32,0,0,2,7,14,0,3,3,3,4,0,0,0,0,0,0,4,7,4,2,0,0,0,2,5,0,0,1,3,2
stake,comp_27,1764.51,1764.51,0.0,1550,44,0.25,11,1,12,6,4,10,0,2,1,7,0,1,0,0,1,0,0,2,5,15,23,27,0,0,3,7,11,0,0,4,4,2,0,0,0,0,0,0,2,1,7,2,0,0,0,3,3,0,0,2,1,1
stake,comp_29,2992.92,2992.92,0.0,1100,66,0.46,12,1,17,11,6,19,0,9,0,3,0,0,1,0,0,0,0,9,15,23,30,35,1,3,6,11,18,4,3,4,4,4,0,0,0,0,0,0,5,4,5,3,0,1,2,3,5,0,1,1,2,2
stake,comp_2_44_merged,93976.56,43676.67,0.5352,31750,2141,600.08,278,94,547,460,160,450,152,241,2,18,16,1,79,1,7,5,2,241,461,671,860,985,79,173,307,488,714,93,78,83,98,98,31,29,29,36,27,0,204,156,110,77,0,79,91,113,177,0,14,36,63,47
stake,comp_30,503.14,503.14,0.0,700,32,0.07,6,0,16,0,0,10,0,6,0,0,0,0,0,0,0,0,0,6,12,18,20,22,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,6,6,2,2,0,0,0,0,0,0,0,0,0,0
stake,comp_31_34_merged,12054.68,12054.68,0.0,4700,236,27.32,36,2,98,24,16,58,2,34,0,0,2,0,2,0,0,0,0,34,68,97,128,150,2,8,13,26,42,12,12,10,12,12,0,2,0,0,0,0,30,29,21,18,0,2,5,5,12,0,4,0,8,4
stake,comp_32,144.81,144.81,0.0,2000,39,0.09,11,0,14,3,3,8,0,7,0,4,0,0,0,0,0,0,0,7,10,17,23,28,0,0,1,3,6,2,0,2,2,2,0,0,0,0,0,0,3,2,5,4,0,0,0,1,2,0,0,1,1,1
stake,comp_35,1755.38,1755.38,0.0,650,29,0.05,5,0,13,0,1,10,0,5,0,0,0,0,0,0,0,0,0,5,10,15,17,19,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0,1
stake,comp_36_50_merged,2489.42,2489.42,0.0,1400,53,0.1,6,4,18,4,3,15,3,5,1,0,0,0,0,0,1,0,3,5,11,17,22,27,0,0,2,4,11,3,3,3,3,3,0,0,0,0,3,0,5,5,5,3,0,0,0,2,2,0,0,1,0,2
stake,comp_37,9092.16,9091.34,0.0001,3650,249,27.91,42,1,84,33,21,68,0,33,4,3,0,2,1,0,0,0,0,33,67,100,127,147,1,6,15,33,55,13,14,13,13,15,0,0,0,0,0,0,26,26,18,14,0,1,5,9,18,0,4,4,9,4
