variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node4node301_timber_t0,0.0,0.0,B,C,timber,node4node301,0,0.0
C_node4node301_timber_t1,0.0,1.0,B,C,timber,node4node301,1,0.0
C_node4node301_timber_t2,0.0,1.0,B,C,timber,node4node301,2,0.0
C_node4node301_timber_t3,0.0,1.0,B,C,timber,node4node301,3,0.0
C_node4node301_timber_t4,0.0,1.0,B,C,timber,node4node301,4,0.0
C_node4node301_timber_t5,0.0,1.0,B,C,timber,node4node301,5,0.0
C_node4node301_wide_t0,0.0,0.0,B,C,wide,node4node301,0,0.0
C_node4node301_wide_t1,0.0,1.0,B,C,wide,node4node301,1,0.0
C_node4node301_wide_t2,0.0,1.0,B,C,wide,node4node301,2,0.0
C_node4node301_wide_t3,0.0,1.0,B,C,wide,node4node301,3,0.0
C_node4node301_wide_t4,0.0,1.0,B,C,wide,node4node301,4,0.0
C_node4node301_wide_t5,0.0,1.0,B,C,wide,node4node301,5,0.0
C_node5node84_timber_t0,0.0,0.0,B,C,timber,node5node84,0,497.0
C_node5node84_timber_t1,0.0,1.0,B,C,timber,node5node84,1,418.46
C_node5node84_timber_t2,0.0,1.0,B,C,timber,node5node84,2,296.65
C_node5node84_timber_t3,0.0,1.0,B,C,timber,node5node84,3,210.3
C_node5node84_timber_t4,0.0,1.0,B,C,timber,node5node84,4,149.09
C_node5node84_timber_t5,0.0,1.0,B,C,timber,node5node84,5,105.69
C_node5node84_wide_t0,0.0,0.0,B,C,wide,node5node84,0,746.0
C_node5node84_wide_t1,0.0,1.0,B,C,wide,node5node84,1,628.11
C_node5node84_wide_t2,0.0,1.0,B,C,wide,node5node84,2,445.28
C_node5node84_wide_t3,0.0,1.0,B,C,wide,node5node84,3,315.67
C_node5node84_wide_t4,0.0,1.0,B,C,wide,node5node84,4,223.78
C_node5node84_wide_t5,0.0,1.0,B,C,wide,node5node84,5,158.64
C_node5node101_timber_t0,0.0,0.0,B,C,timber,node5node101,0,558.0
C_node5node101_timber_t1,0.0,1.0,B,C,timber,node5node101,1,469.82
C_node5node101_timber_t2,0.0,1.0,B,C,timber,node5node101,2,333.06
C_node5node101_timber_t3,0.0,1.0,B,C,timber,node5node101,3,236.12
C_node5node101_timber_t4,0.0,1.0,B,C,timber,node5node101,4,167.39
C_node5node101_timber_t5,0.0,1.0,B,C,timber,node5node101,5,118.66
C_node5node101_wide_t0,0.0,0.0,B,C,wide,node5node101,0,837.0
C_node5node101_wide_t1,0.0,1.0,B,C,wide,node5node101,1,704.73
C_node5node101_wide_t2,0.0,1.0,B,C,wide,node5node101,2,499.6
C_node5node101_wide_t3,0.0,1.0,B,C,wide,node5node101,3,354.17
C_node5node101_wide_t4,0.0,1.0,B,C,wide,node5node101,4,251.08
C_node5node101_wide_t5,0.0,1.0,B,C,wide,node5node101,5,178.0
C_node5node215_timber_t0,0.0,0.0,B,C,timber,node5node215,0,2195.0
C_node5node215_timber_t1,0.0,1.0,B,C,timber,node5node215,1,1848.13
C_node5node215_timber_t2,0.0,1.0,B,C,timber,node5node215,2,1310.17
C_node5node215_timber_t3,0.0,1.0,B,C,timber,node5node215,3,928.81
C_node5node215_timber_t4,0.0,1.0,B,C,timber,node5node215,4,658.45
C_node5node215_timber_t5,0.0,1.0,B,C,timber,node5node215,5,466.79
C_node5node215_wide_t0,0.0,0.0,B,C,wide,node5node215,0,3293.0
C_node5node215_wide_t1,0.0,1.0,B,C,wide,node5node215,1,2772.62
C_node5node215_wide_t2,0.0,1.0,B,C,wide,node5node215,2,1965.56
C_node5node215_wide_t3,0.0,1.0,B,C,wide,node5node215,3,1393.42
C_node5node215_wide_t4,0.0,1.0,B,C,wide,node5node215,4,987.82
C_node5node215_wide_t5,0.0,1.0,B,C,wide,node5node215,5,700.29
C_node5node43_timber_t0,0.0,0.0,B,C,timber,node5node43,0,2303.0
C_node5node43_timber_t1,0.0,1.0,B,C,timber,node5node43,1,1939.06
C_node5node43_timber_t2,0.0,1.0,B,C,timber,node5node43,2,1374.64
C_node5node43_timber_t3,0.0,1.0,B,C,timber,node5node43,3,974.51
C_node5node43_timber_t4,0.0,1.0,B,C,timber,node5node43,4,690.85
C_node5node43_timber_t5,0.0,1.0,B,C,timber,node5node43,5,489.75
C_node5node43_wide_t0,0.0,0.0,B,C,wide,node5node43,0,3451.0
C_node5node43_wide_t1,0.0,1.0,B,C,wide,node5node43,1,2905.65
C_node5node43_wide_t2,0.0,1.0,B,C,wide,node5node43,2,2059.87
C_node5node43_wide_t3,0.0,1.0,B,C,wide,node5node43,3,1460.28
C_node5node43_wide_t4,0.0,1.0,B,C,wide,node5node43,4,1035.22
C_node5node43_wide_t5,0.0,1.0,B,C,wide,node5node43,5,733.89
C_node5node287_timber_t0,0.0,0.0,B,C,timber,node5node287,0,0.0
C_node5node287_timber_t1,0.0,1.0,B,C,timber,node5node287,1,0.0
C_node5node287_timber_t2,0.0,1.0,B,C,timber,node5node287,2,0.0
C_node5node287_timber_t3,0.0,1.0,B,C,timber,node5node287,3,0.0
C_node5node287_timber_t4,0.0,1.0,B,C,timber,node5node287,4,0.0
C_node5node287_timber_t5,0.0,1.0,B,C,timber,node5node287,5,0.0
C_node5node287_wide_t0,0.0,0.0,B,C,wide,node5node287,0,0.0
C_node5node287_wide_t1,0.0,1.0,B,C,wide,node5node287,1,0.0
C_node5node287_wide_t2,0.0,1.0,B,C,wide,node5node287,2,0.0
C_node5node287_wide_t3,0.0,1.0,B,C,wide,node5node287,3,0.0
C_node5node287_wide_t4,0.0,1.0,B,C,wide,node5node287,4,0.0
C_node5node287_wide_t5,0.0,1.0,B,C,wide,node5node287,5,0.0
C_node5node297_timber_t0,0.0,0.0,B,C,timber,node5node297,0,0.0
C_node5node297_timber_t1,0.0,1.0,B,C,timber,node5node297,1,0.0
C_node5node297_timber_t2,0.0,1.0,B,C,timber,node5node297,2,0.0
C_node5node297_timber_t3,0.0,1.0,B,C,timber,node5node297,3,0.0
C_node5node297_timber_t4,0.0,1.0,B,C,timber,node5node297,4,0.0
C_node5node297_timber_t5,0.0,1.0,B,C,timber,node5node297,5,0.0
C_node5node297_wide_t0,0.0,0.0,B,C,wide,node5node297,0,0.0
C_node5node297_wide_t1,0.0,1.0,B,C,wide,node5node297,1,0.0
C_node5node297_wide_t2,0.0,1.0,B,C,wide,node5node297,2,0.0
C_node5node297_wide_t3,0.0,1.0,B,C,wide,node5node297,3,0.0
C_node5node297_wide_t4,0.0,1.0,B,C,wide,node5node297,4,0.0
C_node5node297_wide_t5,0.0,1.0,B,C,wide,node5node297,5,0.0
C_node5node298_timber_t0,0.0,0.0,B,C,timber,node5node298,0,0.0
C_node5node298_timber_t1,0.0,1.0,B,C,timber,node5node298,1,0.0
C_node5node298_timber_t2,0.0,1.0,B,C,timber,node5node298,2,0.0
C_node5node298_timber_t3,0.0,1.0,B,C,timber,node5node298,3,0.0
C_node5node298_timber_t4,0.0,1.0,B,C,timber,node5node298,4,0.0
C_node5node298_timber_t5,0.0,1.0,B,C,timber,node5node298,5,0.0
C_node5node298_wide_t0,0.0,0.0,B,C,wide,node5node298,0,0.0
C_node5node298_wide_t1,0.0,1.0,B,C,wide,node5node298,1,0.0
C_node5node298_wide_t2,0.0,1.0,B,C,wide,node5node298,2,0.0
C_node5node298_wide_t3,0.0,1.0,B,C,wide,node5node298,3,0.0
C_node5node298_wide_t4,0.0,1.0,B,C,wide,node5node298,4,0.0
C_node5node298_wide_t5,0.0,1.0,B,C,wide,node5node298,5,0.0
C_node5node299_timber_t0,0.0,0.0,B,C,timber,node5node299,0,0.0
C_node5node299_timber_t1,0.0,1.0,B,C,timber,node5node299,1,0.0
C_node5node299_timber_t2,0.0,1.0,B,C,timber,node5node299,2,0.0
C_node5node299_timber_t3,0.0,1.0,B,C,timber,node5node299,3,0.0
C_node5node299_timber_t4,0.0,1.0,B,C,timber,node5node299,4,0.0
C_node5node299_timber_t5,0.0,1.0,B,C,timber,node5node299,5,0.0
C_node5node299_wide_t0,0.0,0.0,B,C,wide,node5node299,0,0.0
C_node5node299_wide_t1,0.0,1.0,B,C,wide,node5node299,1,0.0
C_node5node299_wide_t2,0.0,1.0,B,C,wide,node5node299,2,0.0
C_node5node299_wide_t3,0.0,1.0,B,C,wide,node5node299,3,0.0
C_node5node299_wide_t4,0.0,1.0,B,C,wide,node5node299,4,0.0
C_node5node299_wide_t5,0.0,1.0,B,C,wide,node5node299,5,0.0
C_node6node7_timber_t0,0.0,0.0,B,C,timber,node6node7,0,653.0
C_node6node7_timber_t1,0.0,1.0,B,C,timber,node6node7,1,549.81
C_node6node7_timber_t2,0.0,1.0,B,C,timber,node6node7,2,389.77
C_node6node7_timber_t3,0.0,1.0,B,C,timber,node6node7,3,276.31
C_node6node7_timber_t4,0.0,1.0,B,C,timber,node6node7,4,195.88
C_node6node7_timber_t5,0.0,1.0,B,C,timber,node6node7,5,138.87
C_node6node7_wide_t0,0.0,0.0,B,C,wide,node6node7,0,980.0
C_node6node7_wide_t1,0.0,1.0,B,C,wide,node6node7,1,825.13
C_node6node7_wide_t2,0.0,1.0,B,C,wide,node6node7,2,584.95
C_node6node7_wide_t3,0.0,1.0,B,C,wide,node6node7,3,414.68
C_node6node7_wide_t4,0.0,1.0,B,C,wide,node6node7,4,293.98
C_node6node7_wide_t5,0.0,1.0,B,C,wide,node6node7,5,208.41
C_node6node161_timber_t0,0.0,0.0,B,C,timber,node6node161,0,4923.0
C_node6node161_timber_t1,0.0,1.0,B,C,timber,node6node161,1,4145.03
C_node6node161_timber_t2,0.0,1.0,B,C,timber,node6node161,2,2938.49
C_node6node161_timber_t3,0.0,1.0,B,C,timber,node6node161,3,2083.15
C_node6node161_timber_t4,0.0,1.0,B,C,timber,node6node161,4,1476.79
C_node6node161_timber_t5,0.0,1.0,B,C,timber,node6node161,5,1046.92
C_node6node161_wide_t0,0.0,0.0,B,C,wide,node6node161,0,7382.0
C_node6node161_wide_t1,0.0,1.0,B,C,wide,node6node161,1,6215.45
C_node6node161_wide_t2,0.0,1.0,B,C,wide,node6node161,2,4406.25
C_node6node161_wide_t3,0.0,1.0,B,C,wide,node6node161,3,3123.67
C_node6node161_wide_t4,0.0,1.0,B,C,wide,node6node161,4,2214.43
