variable,coefficient,type,prefix,width,edge,period
C_node5node89_timber_t0,2029.0,B,C,timber,,0
C_node5node89_timber_t1,1708.36,B,C,timber,,1
C_node5node89_timber_t2,1211.09,B,C,timber,,2
C_node5node89_timber_t3,858.57,B,C,timber,,3
C_node5node89_timber_t4,608.65,B,C,timber,,4
C_node5node89_timber_t5,431.49,B,C,timber,,5
C_node5node89_wide_t0,3044.0,B,C,wide,,0
C_node5node89_wide_t1,2562.97,B,C,wide,,1
C_node5node89_wide_t2,1816.94,B,C,wide,,2
C_node5node89_wide_t3,1288.06,B,C,wide,,3
C_node5node89_wide_t4,913.13,B,C,wide,,4
C_node5node89_wide_t5,647.33,B,C,wide,,5
C_node5node110_timber_t0,1419.0,B,C,timber,,0
C_node5node110_timber_t1,1194.76,B,C,timber,,1
C_node5node110_timber_t2,846.99,B,C,timber,,2
C_node5node110_timber_t3,600.45,B,C,timber,,3
C_node5node110_timber_t4,425.67,B,C,timber,,4
C_node5node110_timber_t5,301.76,B,C,timber,,5
C_node5node110_wide_t0,2132.0,B,C,wide,,0
C_node5node110_wide_t1,1795.09,B,C,wide,,1
C_node5node110_wide_t2,1272.57,B,C,wide,,2
C_node5node110_wide_t3,902.15,B,C,wide,,3
C_node5node110_wide_t4,639.55,B,C,wide,,4
C_node5node110_wide_t5,453.39,B,C,wide,,5
C_node5node174_timber_t0,0.0,B,C,timber,,0
C_node5node174_timber_t1,0.0,B,C,timber,,1
C_node5node174_timber_t2,0.0,B,C,timber,,2
C_node5node174_timber_t3,0.0,B,C,timber,,3
C_node5node174_timber_t4,0.0,B,C,timber,,4
C_node5node174_timber_t5,0.0,B,C,timber,,5
C_node5node174_wide_t0,0.0,B,C,wide,,0
C_node5node174_wide_t1,0.0,B,C,wide,,1
C_node5node174_wide_t2,0.0,B,C,wide,,2
C_node5node174_wide_t3,0.0,B,C,wide,,3
C_node5node174_wide_t4,0.0,B,C,wide,,4
C_node5node174_wide_t5,0.0,B,C,wide,,5
C_node5node180_timber_t0,0.0,B,C,timber,,0
C_node5node180_timber_t1,0.0,B,C,timber,,1
C_node5node180_timber_t2,0.0,B,C,timber,,2
C_node5node180_timber_t3,0.0,B,C,timber,,3
C_node5node180_timber_t4,0.0,B,C,timber,,4
C_node5node180_timber_t5,0.0,B,C,timber,,5
C_node5node180_wide_t0,0.0,B,C,wide,,0
C_node5node180_wide_t1,0.0,B,C,wide,,1
C_node5node180_wide_t2,0.0,B,C,wide,,2
C_node5node180_wide_t3,0.0,B,C,wide,,3
C_node5node180_wide_t4,0.0,B,C,wide,,4
C_node5node180_wide_t5,0.0,B,C,wide,,5
C_node6node96_timber_t0,409.0,B,C,timber,,0
C_node6node96_timber_t1,344.37,B,C,timber,,1
C_node6node96_timber_t2,244.13,B,C,timber,,2
C_node6node96_timber_t3,173.07,B,C,timber,,3
C_node6node96_timber_t4,122.69,B,C,timber,,4
C_node6node96_timber_t5,86.98,B,C,timber,,5
C_node6node96_wide_t0,614.0,B,C,wide,,0
C_node6node96_wide_t1,516.97,B,C,wide,,1
C_node6node96_wide_t2,366.49,B,C,wide,,2
C_node6node96_wide_t3,259.81,B,C,wide,,3
C_node6node96_wide_t4,184.19,B,C,wide,,4
C_node6node96_wide_t5,130.57,B,C,wide,,5
C_node6node84_timber_t0,97.0,B,C,timber,,0
C_node6node84_timber_t1,81.67,B,C,timber,,1
C_node6node84_timber_t2,57.9,B,C,timber,,2
C_node6node84_timber_t3,41.05,B,C,timber,,3
C_node6node84_timber_t4,29.1,B,C,timber,,4
C_node6node84_timber_t5,20.63,B,C,timber,,5
