variable,coefficient,type,prefix,width,edge,period
C_node8node25_wide_t3,2083.15,B,C,wide,,3
C_node8node25_wide_t4,1476.79,B,C,wide,,4
C_node8node25_wide_t5,1046.92,B,C,wide,,5
C_node8node45_timber_t0,1286.0,B,C,timber,,0
C_node8node45_timber_t1,1082.78,B,C,timber,,1
C_node8node45_timber_t2,767.6,B,C,timber,,2
C_node8node45_timber_t3,544.17,B,C,timber,,3
C_node8node45_timber_t4,385.77,B,C,timber,,4
C_node8node45_timber_t5,273.48,B,C,timber,,5
C_node8node45_wide_t0,1930.0,B,C,wide,,0
C_node8node45_wide_t1,1625.01,B,C,wide,,1
C_node8node45_wide_t2,1152.0,B,C,wide,,2
C_node8node45_wide_t3,816.67,B,C,wide,,3
C_node8node45_wide_t4,578.96,B,C,wide,,4
C_node8node45_wide_t5,410.43,B,C,wide,,5
C_node8node63_timber_t0,0.0,B,C,timber,,0
C_node8node63_timber_t1,0.0,B,C,timber,,1
C_node8node63_timber_t2,0.0,B,C,timber,,2
C_node8node63_timber_t3,0.0,B,C,timber,,3
C_node8node63_timber_t4,0.0,B,C,timber,,4
C_node8node63_timber_t5,0.0,B,C,timber,,5
C_node8node63_wide_t0,0.0,B,C,wide,,0
C_node8node63_wide_t1,0.0,B,C,wide,,1
C_node8node63_wide_t2,0.0,B,C,wide,,2
C_node8node63_wide_t3,0.0,B,C,wide,,3
C_node8node63_wide_t4,0.0,B,C,wide,,4
C_node8node63_wide_t5,0.0,B,C,wide,,5
C_node8node68_timber_t0,0.0,B,C,timber,,0
C_node8node68_timber_t1,0.0,B,C,timber,,1
C_node8node68_timber_t2,0.0,B,C,timber,,2
C_node8node68_timber_t3,0.0,B,C,timber,,3
C_node8node68_timber_t4,0.0,B,C,timber,,4
C_node8node68_timber_t5,0.0,B,C,timber,,5
C_node8node68_wide_t0,0.0,B,C,wide,,0
C_node8node68_wide_t1,0.0,B,C,wide,,1
C_node8node68_wide_t2,0.0,B,C,wide,,2
C_node8node68_wide_t3,0.0,B,C,wide,,3
C_node8node68_wide_t4,0.0,B,C,wide,,4
C_node8node68_wide_t5,0.0,B,C,wide,,5
C_node9node40_timber_t0,1392.0,B,C,timber,,0
C_node9node40_timber_t1,1172.03,B,C,timber,,1
C_node9node40_timber_t2,830.87,B,C,timber,,2
C_node9node40_timber_t3,589.02,B,C,timber,,3
C_node9node40_timber_t4,417.57,B,C,timber,,4
C_node9node40_timber_t5,296.02,B,C,timber,,5
C_node9node40_wide_t0,2088.0,B,C,wide,,0
C_node9node40_wide_t1,1758.04,B,C,wide,,1
C_node9node40_wide_t2,1246.31,B,C,wide,,2
C_node9node40_wide_t3,883.53,B,C,wide,,3
C_node9node40_wide_t4,626.35,B,C,wide,,4
C_node9node40_wide_t5,444.03,B,C,wide,,5
C_node9node33_timber_t0,5413.0,B,C,timber,,0
C_node9node33_timber_t1,4557.6,B,C,timber,,1
C_node9node33_timber_t2,3230.97,B,C,timber,,2
C_node9node33_timber_t3,2290.49,B,C,timber,,3
C_node9node33_timber_t4,1623.77,B,C,timber,,4
C_node9node33_timber_t5,1151.12,B,C,timber,,5
C_node9node33_wide_t0,8118.0,B,C,wide,,0
C_node9node33_wide_t1,6835.14,B,C,wide,,1
C_node9node33_wide_t2,4845.56,B,C,wide,,2
C_node9node33_wide_t3,3435.11,B,C,wide,,3
C_node9node33_wide_t4,2435.21,B,C,wide,,4
C_node9node33_wide_t5,1726.37,B,C,wide,,5
C_node9node60_timber_t0,0.0,B,C,timber,,0
C_node9node60_timber_t1,0.0,B,C,timber,,1
C_node9node60_timber_t2,0.0,B,C,timber,,2
C_node9node60_timber_t3,0.0,B,C,timber,,3
C_node9node60_timber_t4,0.0,B,C,timber,,4
C_node9node60_timber_t5,0.0,B,C,timber,,5
C_node9node60_wide_t0,0.0,B,C,wide,,0
C_node9node60_wide_t1,0.0,B,C,wide,,1
C_node9node60_wide_t2,0.0,B,C,wide,,2
C_node9node60_wide_t3,0.0,B,C,wide,,3
C_node9node60_wide_t4,0.0,B,C,wide,,4
C_node9node60_wide_t5,0.0,B,C,wide,,5
C_node10node44_timber_t0,211.0,B,C,timber,,0
C_node10node44_timber_t1,177.66,B,C,timber,,1
C_node10node44_timber_t2,125.94,B,C,timber,,2
C_node10node44_timber_t3,89.28,B,C,timber,,3
C_node10node44_timber_t4,63.3,B,C,timber,,4
C_node10node44_timber_t5,44.87,B,C,timber,,5
C_node10node44_wide_t0,317.0,B,C,wide,,0
C_node10node44_wide_t1,266.91,B,C,wide,,1
C_node10node44_wide_t2,189.21,B,C,wide,,2
C_node10node44_wide_t3,134.14,B,C,wide,,3
C_node10node44_wide_t4,95.09,B,C,wide,,4
C_node10node44_wide_t5,67.41,B,C,wide,,5
C_node10node21_timber_t0,1786.0,B,C,timber,,0
C_node10node21_timber_t1,1503.76,B,C,timber,,1
C_node10node21_timber_t2,1066.05,B,C,timber,,2
C_node10node21_timber_t3,755.74,B,C,timber,,3
C_node10node21_timber_t4,535.76,B,C,timber,,4
C_node10node21_timber_t5,379.81,B,C,timber,,5
C_node10node21_wide_t0,2681.0,B,C,wide,,0
C_node10node21_wide_t1,2257.33,B,C,wide,,1
C_node10node21_wide_t2,1600.26,B,C,wide,,2
C_node10node21_wide_t3,1134.46,B,C,wide,,3
C_node10node21_wide_t4,804.24,B,C,wide,,4
C_node10node21_wide_t5,570.14,B,C,wide,,5
C_node10node61_timber_t0,0.0,B,C,timber,,0
C_node10node61_timber_t1,0.0,B,C,timber,,1
C_node10node61_timber_t2,0.0,B,C,timber,,2
C_node10node61_timber_t3,0.0,B,C,timber,,3
C_node10node61_timber_t4,0.0,B,C,timber,,4
